GT_count,Detected_count,TP,FP,FN,Precision,Recall,F1,LocalizationError
128,190,23,168,105,0.12041884816690882,0.1796874999985962,0.14420062647784515,2.281287794681903
77,220,20,200,57,0.09090909090867769,0.25974025973688647,0.13468013429513995,2.1328832691428827
52,167,12,155,40,0.07185628742471943,0.23076923076479292,0.10958904073276203,2.319211318558076
15,165,5,160,10,0.03030303030284665,0.3333333333111111,0.05555555540216049,1.672591822817156
120,103,26,76,94,0.25490196078181465,0.21666666666486112,0.23423423373541108,2.2234005883538805
92,143,28,115,64,0.19580419580282657,0.30434782608364835,0.23829787186194662,2.2307729204281648
98,242,25,217,73,0.10330578512354006,0.25510204081372345,0.14705882311823532,2.4320784291357684
36,67,9,58,27,0.13432835820695033,0.24999999999305558,0.17475728109529648,2.359995003497059
122,195,30,166,92,0.153061224489015,0.2459016393422467,0.18867924480890788,2.1618597569857596
55,69,11,59,44,0.15714285714061224,0.19999999999636364,0.17599999950438397,2.64819206235103
46,66,10,56,36,0.15151515151285583,0.2173913043431002,0.17857142808418364,2.3893373361496795
111,119,18,101,93,0.15126050420040957,0.16216216216070123,0.1565217386296786,2.025343717657729
90,111,10,101,80,0.09009009008927847,0.11111111110987654,0.09950248706665675,2.1101255291336285
67,133,14,119,53,0.1052631578939454,0.20895522387747828,0.13999999955304998,2.2893580201892734
62,99,18,80,44,0.1836734693858809,0.29032258064047867,0.2249999995225,2.299303956323207
140,353,24,328,116,0.06818181818162448,0.17142857142734697,0.09756097520219446,2.3888101821154084
37,70,5,65,32,0.07142857142755102,0.13513513513148284,0.09345794347104551,1.6296513809480397
58,37,13,24,45,0.3513513513418554,0.22413793103061833,0.27368421004498616,1.9831146855814852
133,159,28,132,105,0.17499999999890625,0.2105263157878908,0.19112627936642243,1.8982642581228646
73,165,18,148,55,0.10843373493910582,0.24657534246237567,0.15062761463720872,2.0789523722721146
128,190,23,168,105,0.12041884816690882,0.1796874999985962,0.14420062647784515,2.281287794681903
77,220,20,200,57,0.09090909090867769,0.25974025973688647,0.13468013429513995,2.1328832691428827
52,167,12,155,40,0.07185628742471943,0.23076923076479292,0.10958904073276203,2.319211318558076
15,165,5,160,10,0.03030303030284665,0.3333333333111111,0.05555555540216049,1.672591822817156
120,103,26,76,94,0.25490196078181465,0.21666666666486112,0.23423423373541108,2.2234005883538805
92,143,28,115,64,0.19580419580282657,0.30434782608364835,0.23829787186194662,2.2307729204281648
98,242,25,217,73,0.10330578512354006,0.25510204081372345,0.14705882311823532,2.4320784291357684
36,67,9,58,27,0.13432835820695033,0.24999999999305558,0.17475728109529648,2.359995003497059
