name,Precision,Recall,F1,LocalizationError
BM-IT STRICT,0.008806263354743911,0.016231486892648597,0.011058743280698894,0.6057462703006313
ST-IT STRICT,0.019362288212622807,0.03033326014779201,0.022807729134883693,0.6856618729234858
BM-TH STRICT,0.004978897238943144,0.011821708353231816,0.006710665159875881,0.4877917063604498
ST-TH STRICT,0.011886489913775795,0.022596971878591016,0.014997814373571002,0.5690882291907616
BM-IT MODERATE,0.07251374291549091,0.14374047564035947,0.09312221870625301,1.7419288548401408
ST-IT MODERATE,0.10350092832762052,0.16740680590569165,0.11936185352651911,1.601337163854383
BM-TH MODERATE,0.05376219983999765,0.11777278954141708,0.07112149127196137,1.7407799062057208
ST-TH MODERATE,0.07702525164124249,0.14233961392552794,0.09372590565178208,1.6798060596616782
BM-IT LOOSE,0.11559074463904855,0.22924219848839247,0.14856413717829814,2.5851138025022746
ST-IT LOOSE,0.13841147436596618,0.22266470873383173,0.16045527433050072,2.1777267202222554
BM-TH LOOSE,0.08769338172632801,0.18962827895233336,0.11578444930071734,2.5703366414512834
ST-TH LOOSE,0.1199464223310783,0.21116624908651013,0.14467662225696326,2.406922964450909
