Candidates,GT_count,Detected_count,TP,FP,FN,Precision,Recall,F1,LocalizationError
28886,128,224,41,178,87,0.18721461187129126,0.3203124999974976,0.23631123872610857,1.158435372928488
24261,77,183,20,162,57,0.10989010988950611,0.25974025973688647,0.15444015402113861,1.2484364452522532
30884,52,222,12,208,40,0.054545454545206616,0.23076923076479292,0.08823529380774221,1.4309010600725696
19649,15,164,3,161,12,0.018292682926717728,0.19999999998666668,0.03351955291869792,1.4296414892416431
19865,120,136,27,105,93,0.20454545454390496,0.224999999998125,0.21428571378514738,1.0671552193402538
29468,92,190,22,164,70,0.11827956989183722,0.23913043478000945,0.15827338085099113,1.4838481778787622
30923,98,221,22,197,76,0.1004566210041075,0.22448979591607662,0.13880126140162605,1.1394822748969053
13521,36,77,7,69,29,0.09210526315668283,0.19444444443904324,0.12499999956154335,1.1459385605666719
34038,122,206,32,171,90,0.15763546797951905,0.2622950819650631,0.19692307645292306,1.2902715335174406
14935,55,81,9,72,46,0.11111111110973937,0.16363636363338843,0.13235294069279843,2.0817293442338833
17369,46,107,10,97,36,0.0934579439243602,0.2173913043431002,0.13071895382613521,1.632650867638074
21559,111,178,28,147,83,0.15999999999908573,0.2522522522499797,0.19580419532786444,0.9799996597732007
20863,90,163,20,142,70,0.12345679012269471,0.22222222221975307,0.15873015826971526,0.9945029248747354
26847,67,200,16,184,51,0.0799999999996,0.23880597014568944,0.11985018688908528,1.4314515984877785
16680,62,155,20,135,42,0.12903225806368368,0.3225806451560874,0.18433179682516088,1.1716453549393253
