Candidates,GT_count,Detected_count,TP,FP,FN,Precision,Recall,F1,LocalizationError
24394,128,169,24,146,104,0.14117647058740485,0.18749999999853517,0.16107382501220666,2.7623902558754083
22138,77,182,17,164,60,0.09392265193318275,0.2207792207763535,0.13178294531665763,2.716936401294808
25907,52,212,10,201,42,0.047393364928685344,0.19230769230399408,0.07604562705859563,2.6935765243329537
14464,15,134,2,132,13,0.014925373134216977,0.13333333332444444,0.026845637402459353,3.0556807584192067
18726,120,140,27,112,93,0.19424460431514934,0.224999999998125,0.20849420799528925,2.4599312631001053
27793,92,166,25,142,67,0.1497005988014988,0.2717391304318289,0.19305019259062922,2.2411161154397914
27780,98,209,23,187,75,0.10952380952328798,0.23469387754862556,0.14935064891579525,2.2621257441226708
12503,36,86,8,78,28,0.09302325581287182,0.2222222222160494,0.1311475405654394,3.1300300819441373
26277,122,180,31,151,91,0.17032967032873447,0.25409836065365493,0.20394736793918802,2.355207357912774
13126,55,70,9,62,46,0.1267605633784963,0.16363636363338843,0.14285714236293776,2.9520375669347994
19177,46,111,9,102,37,0.08108108108035061,0.1956521739087902,0.11464968111290519,2.0329306289460827
21964,111,181,26,155,85,0.14364640883898538,0.234234234232124,0.17808219130833647,2.447008156065469
16375,90,157,21,136,69,0.13375796178258753,0.23333333333074074,0.1700404853653723,2.3565914079710994
24183,67,180,18,161,49,0.10055865921731533,0.26865671641390065,0.1463414630170864,3.075455834289181
13458,62,133,19,114,43,0.14285714285606876,0.30645161289828304,0.19487179443608155,2.4422644354607437
23900,140,287,27,259,113,0.09440559440526432,0.19285714285576533,0.1267605629384161,2.8267863400560893
26996,37,180,10,170,27,0.05555555555524692,0.2702702702629657,0.09216589833379345,2.0698767522011066
11756,58,68,11,57,47,0.16176470587997405,0.1896551724105232,0.17460317410355253,2.5238503477279455
21999,133,210,40,170,93,0.19047619047528347,0.30075187969698686,0.23323615112733642,2.9279867099586325
30961,73,263,21,243,52,0.07954545454515324,0.28767123287277163,0.12462907977856633,2.5040488350071626
