Candidates,GT_count,Detected_count,TP,FP,FN,Precision,Recall,F1,LocalizationError
28886,128,224,30,194,98,0.13392857142797354,0.23437499999816896,0.17045454499076707,1.006164198250287
24261,77,183,13,170,64,0.07103825136573204,0.1688311688289762,0.09999999958233728,0.9276158533953534
30884,52,222,6,216,46,0.027027027026905286,0.11538461538239646,0.04379562013010817,1.2481843937308612
19649,15,164,3,161,12,0.018292682926717728,0.19999999998666668,0.03351955291869792,1.4296414892416431
19865,120,136,23,111,97,0.17164179104349522,0.19166666666506943,0.1811023617048174,0.9817502515154536
29468,92,190,14,176,78,0.07368421052592798,0.15217391304182418,0.09929077970152408,0.983805691290767
30923,98,221,20,200,78,0.09090909090867769,0.20408163265097876,0.12578616309481427,0.951227984819405
13521,36,77,6,71,30,0.07792207792106594,0.16666666666203706,0.10619468982943066,1.2552155473767208
34038,122,206,25,180,97,0.12195121951160025,0.2049180327852056,0.15290519830803617,0.9405232718312679
14935,55,81,4,77,51,0.04938271604877305,0.07272727272595042,0.058823528929173884,1.0003763022257306
17369,46,107,6,101,40,0.05607476635461612,0.1304347826058601,0.07843137212747234,0.998536490525532
21559,111,178,25,151,86,0.14204545454464748,0.22522522522319616,0.1742160273989972,0.9768724005245681
20863,90,163,14,149,76,0.08588957055162032,0.15555555555382716,0.11067193629964536,0.9056923877504577
26847,67,200,14,186,53,0.06999999999965001,0.20895522387747828,0.1048689134809578,1.4366672501730793
16680,62,155,18,137,44,0.1161290322573153,0.29032258064047867,0.16589861710182843,1.0989598660399948
