Candidates,GT_count,Detected_count,TP,FP,FN,Precision,Recall,F1,LocalizationError
28886,128,224,9,215,119,0.04017857142839206,0.07031249999945069,0.05113636317326317,0.3447168940727057
24261,77,183,5,178,72,0.027322404371435398,0.06493506493422162,0.03846153804434912,0.40724873910532144
30884,52,222,1,221,51,0.004504504504484214,0.01923076923039941,0.007299269765411064,0.5159817183955177
19649,15,164,0,164,15,0.0,0.0,0.0,0.0
19865,120,136,9,127,111,0.06617647058774871,0.074999999999375,0.07031249950140382,0.5937595189946239
29468,92,190,5,185,87,0.02631578947354571,0.054347826086365784,0.035460992467934216,0.26756354218920464
30923,98,221,7,214,91,0.03167420814465306,0.07142857142784256,0.04388714690948399,0.6132596081122691
13521,36,77,1,76,35,0.012987012986844324,0.027777777777006175,0.017699114609758017,0.5627783453892599
34038,122,206,9,196,113,0.043902439024176086,0.073770491802674,0.055045871091509324,0.534094892717748
14935,55,81,2,79,53,0.024691358024386524,0.03636363636297521,0.029411764223724057,0.3417077881069466
17369,46,107,1,106,45,0.00934579439243602,0.02173913043431002,0.01307189500414372,0.32099427705572486
21559,111,178,11,167,100,0.06179775280864159,0.09909909909820631,0.0761245670003951,0.5358843291678194
20863,90,163,3,160,87,0.01840490797534721,0.03333333333296296,0.023715414561202342,0.4466770529463357
26847,67,200,1,199,66,0.004999999999975,0.01492537313410559,0.007490636328129184,0.4838873785127232
16680,62,155,5,150,57,0.03225806451592092,0.08064516128902185,0.04608294890016778,0.46566979542470593
