Candidates,GT_count,Detected_count,TP,FP,FN,Precision,Recall,F1,LocalizationError
24394,128,169,2,167,126,0.011834319526557195,0.015624999999877931,0.0134680129774513,0.8400613907584197
22138,77,182,1,181,76,0.0054945054944753055,0.012987012986844324,0.007722007304124888,0.8080487286200807
25907,52,212,1,211,51,0.004716981132053222,0.01923076923039941,0.007575757259354926,0.9363002692286749
14464,15,134,0,134,15,0.0,0.0,0.0,0.0
18726,120,140,1,139,119,0.007142857142806123,0.008333333333263889,0.007692307195207134,0.9851542037566517
27793,92,166,4,162,88,0.024096385542023518,0.04347826086909263,0.03100775147887748,0.8803107312659926
27780,98,209,3,206,95,0.014354066985577254,0.03061224489764681,0.019543973506604854,0.6659355481087078
12503,36,86,0,86,36,0.0,0.0,0.0,0.0
26277,122,180,3,177,119,0.016666666666574074,0.02459016393422467,0.019867549187184783,0.9572885625979017
13126,55,70,1,69,54,0.014285714285510204,0.018181818181487605,0.015999999506944015,0.8812731723766984
19177,46,111,0,111,46,0.0,0.0,0.0,0.0
21964,111,181,2,179,109,0.01104972375684503,0.018018018017855693,0.013698629665626778,0.7047050524801401
16375,90,157,2,155,88,0.012738853503103576,0.02222222222197531,0.016194331520464206,0.7431448765196471
24183,67,180,1,179,66,0.005555555555524692,0.01492537313410559,0.008097165596485784,0.35039062381614394
13458,62,133,0,133,62,0.0,0.0,0.0,0.0
23900,140,287,2,285,138,0.0069686411149582975,0.014285714285612245,0.009367681058043448,0.8326968047415426
26996,37,180,1,179,36,0.005555555555524692,0.027027027026296568,0.009216589578797606,0.963110573422193
11756,58,68,2,66,56,0.029411764705449827,0.03448275862009513,0.03174603124867725,0.8212021099853237
21999,133,210,3,207,130,0.01428571428564626,0.022556390977274014,0.01749271089535824,0.841680806847739
30961,73,263,1,262,72,0.0038022813688068356,0.013698630136798649,0.005952380612227202,0.7436833422451902
