Candidates,GT_count,Detected_count,TP,FP,FN,Precision,Recall,F1,LocalizationError
35494,128,217,20,197,108,0.0921658986170868,0.1562499999987793,0.11594202851810965,2.6578334820264184
31446,77,197,16,181,61,0.08121827411126285,0.2077922077895092,0.11678832076293354,2.5237269673028804
37500,52,235,10,224,42,0.04273504273486011,0.19230769230399408,0.06993006963206026,2.0672828339573175
20533,15,151,3,148,12,0.0198675496687426,0.19999999998666668,0.036144578148425026,2.6960448756860043
26713,120,145,30,114,90,0.20833333333188658,0.24999999999791667,0.22727272677513774,2.29911168981907
37675,92,200,24,176,68,0.1199999999994,0.26086956521455573,0.164383561211109,2.2136395073526365
39238,98,243,28,216,70,0.11475409836018544,0.28571428571137025,0.163742689648644,2.4737732067514244
17884,36,81,8,72,28,0.09999999999874999,0.2222222222160494,0.13793103405231866,2.6271173227297324
41470,122,220,36,183,86,0.164383561643085,0.295081967210696,0.2111436945538824,2.4324882680725093
20261,55,90,7,83,48,0.07777777777691358,0.12727272727041322,0.09655172366573128,2.7123512102367515
22131,46,105,8,96,38,0.07692307692233727,0.17391304347448017,0.10666666623999997,2.2249074331105074
27636,111,200,19,181,92,0.094999999999525,0.17117117116962907,0.12218649471701079,2.054895622434997
25030,90,176,17,159,73,0.09659090909036029,0.18888888888679012,0.12781954842348353,1.8538746083826145
33034,67,198,19,179,48,0.09595959595911133,0.28358208954800623,0.14339622603619795,2.5618157953608103
20946,62,183,20,163,42,0.10928961748574159,0.3225806451560874,0.16326530574307369,2.2323992350483395
