Candidates,GT_count,Detected_count,TP,FP,FN,Precision,Recall,F1,LocalizationError
35494,128,218,22,194,106,0.10185185185138032,0.17187499999865724,0.1279069762761628,0.658948004035992
31446,77,197,13,184,64,0.06598984771540108,0.1688311688289762,0.0948905105441153,0.8846461379918897
37500,52,242,9,231,43,0.03749999999984375,0.17307692307359468,0.061643835323278294,1.2105772127928505
20533,15,142,2,140,13,0.014084507042154335,0.13333333332444444,0.02547770683321839,1.2045267269841233
26713,120,147,22,124,98,0.15068493150581724,0.18333333333180554,0.16541353333811973,0.9194978978413718
37675,92,206,16,188,76,0.07843137254863515,0.17391304347637052,0.10810810767896274,0.8340121283669468
39238,98,253,15,236,83,0.05976095617506071,0.15306122448823406,0.08595988498242214,0.8945236352273361
17884,36,81,5,76,31,0.061728395060966314,0.13888888888503087,0.08547008504258895,0.85901482841983
41470,122,217,22,195,100,0.10138248847879548,0.18032786885098093,0.12979350986298416,0.9131443682914377
20261,55,84,4,81,51,0.04705882352885813,0.07272727272595042,0.057142856665000005,1.5788811690857196
22131,46,102,5,97,41,0.049019607842656666,0.1086956521715501,0.06756756713823958,0.9361670650691825
27636,111,197,14,182,97,0.07142857142820701,0.12612612612498986,0.09120521126411951,0.8424592543910536
25030,90,183,11,172,79,0.06010928961715788,0.1222222222208642,0.08058608014351461,0.8042549517431319
33034,67,194,10,184,57,0.05154639175231162,0.1492537313410559,0.07662835210821921,1.3849901322107567
20946,62,180,14,166,48,0.07777777777734568,0.2258064516092612,0.11570247895676523,1.118287604575263
