Candidates,GT_count,Detected_count,TP,FP,FN,Precision,Recall,F1,LocalizationError
28337,128,186,9,177,119,0.04838709677393341,0.07031249999945069,0.05732484028102561,1.7754498181302316
28180,77,179,6,173,71,0.03351955307243844,0.07792207792106594,0.04687499957901001,1.4827649713192603
30975,52,223,5,218,47,0.022421524663576588,0.09615384615199704,0.036363636056700836,1.6619085214077405
15104,15,108,2,106,13,0.01851851851834705,0.13333333332444444,0.03252032498856501,2.0105425811021944
24405,120,146,14,132,106,0.09589041095824734,0.11666666666569445,0.10526315739872238,1.6889727058236546
35373,92,191,13,178,79,0.06806282722477454,0.14130434782455104,0.09187279107997354,1.624881192219387
34956,98,214,17,198,81,0.0790697674414927,0.17346938775333193,0.10862619765223694,1.8198306392091141
16806,36,83,3,80,33,0.03614457831281753,0.08333333333101853,0.0504201676443754,1.977610367032776
31688,122,197,19,178,103,0.09644670050712464,0.15573770491675623,0.11912225658018297,1.6605743251004654
16754,55,74,1,73,54,0.013513513513330898,0.018181818181487605,0.0155038754795986,1.6300248086638864
22319,46,104,5,99,41,0.0480769230764608,0.1086956521715501,0.06666666624053334,1.4293271975077664
28116,111,202,15,187,96,0.07425742574220665,0.1351351351339177,0.09584664490906307,1.7225530287104514
19779,90,152,11,141,79,0.07236842105215548,0.1222222222208642,0.09090909044115839,1.5127646890609618
30129,67,163,3,160,64,0.01840490797534721,0.04477611940231677,0.026086956108620045,2.542976679639016
15739,62,150,7,143,55,0.04666666666635556,0.1129032258046306,0.06603773543458527,1.7689403460632351
29504,140,295,13,282,127,0.04406779661002011,0.0928571428564796,0.05977011450573658,1.5488350846746959
34216,37,191,8,183,29,0.041884816753707414,0.21621621621037254,0.0701754383239843,1.6254235008563818
14284,58,74,4,70,54,0.05405405405332359,0.06896551724019026,0.06060606011248853,1.6901720660706716
27431,133,227,26,201,107,0.11453744493341614,0.19548872180304144,0.14444444397773148,1.829898195019793
39221,73,286,14,272,59,0.0489510489508778,0.1917808219151811,0.07799442864493604,1.8121474065027328
