Candidates,GT_count,Detected_count,TP,FP,FN,Precision,Recall,F1,LocalizationError
35494,128,218,10,208,118,0.045871559632817104,0.07812499999938965,0.05780346774158843,0.2743522260979998
31446,77,197,6,191,71,0.03045685279172357,0.07792207792106594,0.04379562003353936,0.41746134403373963
37500,52,242,2,240,50,0.008264462809883206,0.03846153846079882,0.01360544188560323,0.26173669818938966
20533,15,142,0,142,15,0.0,0.0,0.0,0.0
26713,120,147,11,136,109,0.07482993197228008,0.09166666666590277,0.08239700324981415,0.5650295816418102
37675,92,206,7,198,85,0.03414634146324807,0.07608695652091209,0.047138046710108954,0.3208265518196588
39238,98,253,6,247,92,0.02371541501966911,0.06122448979529362,0.03418803378534266,0.5176670829185859
17884,36,81,2,79,34,0.024691358024386524,0.05555555555401235,0.03418803376141428,0.3388811148420148
41470,122,217,7,210,115,0.03225806451598038,0.057377049179857566,0.0412979346422673,0.5185114847458108
20261,55,84,1,83,54,0.01190476190462018,0.018181818181487605,0.014388488730189965,0.49055046041573797
22131,46,102,1,101,45,0.009803921568531333,0.02173913043431002,0.01351351308491601,0.4603174538646094
27636,111,197,6,191,105,0.03045685279172357,0.05405405405356708,0.0389610384997681,0.35729342378851686
25030,90,183,5,178,85,0.027322404371435398,0.05555555555493827,0.036630036187792675,0.47875330860272414
33034,67,194,1,193,66,0.005154639175231162,0.01492537313410559,0.007662834867368379,0.918595494563586
20946,62,180,1,179,61,0.005555555555524692,0.016129032257804373,0.008264462428727564,0.38680580908939854
