Candidates,GT_count,Detected_count,TP,FP,FN,Precision,Recall,F1,LocalizationError
27552,128,192,25,164,103,0.1322751322744324,0.19531249999847414,0.157728706142125,1.1433531650819746
35271,77,195,20,174,57,0.10309278350462324,0.25974025973688647,0.1476014756068681,1.3762368685970308
30088,52,148,11,135,41,0.07534246575290862,0.2115384615343935,0.11111111072268136,1.2931826630479097
28873,15,161,5,156,10,0.03105590062092512,0.3333333333111111,0.056818181661608985,1.3212875536347215
18705,120,101,31,69,89,0.3099999999969,0.2583333333311805,0.28181818131975206,1.1039997750754156
34071,92,134,31,97,61,0.24218749999810793,0.33695652173546786,0.28181818132900827,1.139220169492141
44483,98,214,29,187,69,0.1342592592586377,0.2959183673439192,0.1847133753656132,1.6991419862585768
13231,36,65,8,57,28,0.12307692307502958,0.2222222222160494,0.1584158411222429,1.2541204720348706
51191,122,191,31,156,91,0.16577540106863223,0.25409836065365493,0.20064724871176462,1.2006493880536662
20743,55,70,7,63,48,0.09999999999857143,0.12727272727041322,0.11199999950540801,1.5443627210281174
18455,46,61,8,53,38,0.13114754098145662,0.17391304347448017,0.14953270978740502,1.2598679045962584
19389,111,108,19,90,92,0.17431192660390538,0.17117117116962907,0.17272727222574374,1.0258006247238711
20752,90,96,11,84,79,0.11578947368299168,0.1222222222208642,0.11891891841799852,1.2191252968251414
19877,67,121,18,99,49,0.1538461538448389,0.26865671641390065,0.19565217344783786,1.2975690021643271
13220,62,92,18,68,44,0.20930232557896158,0.29032258064047867,0.24324324275310447,0.9623719844007892
