Candidates,GT_count,Detected_count,TP,FP,FN,Precision,Recall,F1,LocalizationError
27552,128,192,25,164,103,0.1322751322744324,0.19531249999847414,0.157728706142125,1.124320210835666
35271,77,193,19,173,58,0.09895833333281794,0.24675324675004215,0.14126394011077792,1.3483385040450278
30088,52,150,11,137,41,0.07432432432382213,0.2115384615343935,0.10999999961409998,1.3002642161980353
28873,15,159,5,154,10,0.03144654088030537,0.3333333333111111,0.05747126420960497,1.3212875536347215
18705,120,100,31,68,89,0.3131313131281502,0.2583333333311805,0.2831050223330623,1.0946496823766132
34071,92,135,30,100,62,0.23076923076745565,0.3260869565181947,0.2702702697824852,1.2087551595826147
44483,98,215,30,186,68,0.13888888888824588,0.3061224489764681,0.19108280211716497,1.7447369420329069
13231,36,65,8,57,28,0.12307692307502958,0.2222222222160494,0.1584158411222429,1.2541204720348706
51191,122,194,31,160,91,0.1623036649206162,0.25409836065365493,0.19808306661568456,1.1477408325218696
20743,55,70,8,62,47,0.11428571428408163,0.14545454545190084,0.127999999505152,1.3842801967519471
18455,46,63,8,55,38,0.12698412698211137,0.17391304347448017,0.14678899033515697,1.2598679045962584
19389,111,111,19,93,92,0.16964285714134247,0.17117117116962907,0.17040358694242794,1.0258006247238711
20752,90,98,12,85,78,0.12371134020491019,0.13333333333185185,0.12834224548863277,1.2488165573766157
19877,67,124,18,101,49,0.15126050420040957,0.26865671641390065,0.19354838663377266,1.2909301211563278
13220,62,93,19,68,43,0.2183908045951909,0.30645161289828304,0.25503355655763255,0.867217804902803
