Candidates,GT_count,Detected_count,TP,FP,FN,Precision,Recall,F1,LocalizationError
27552,128,192,15,176,113,0.0785340314132014,0.11718749999908448,0.09404388666624738,1.0831604324111697
35271,77,195,13,182,64,0.06666666666632479,0.1688311688289762,0.09558823488751622,1.0262956537254753
30088,52,148,7,141,45,0.04729729729697772,0.13461538461279587,0.0699999996145,1.199912589065012
28873,15,161,5,156,10,0.03105590062092512,0.3333333333111111,0.056818181661608985,1.3212875536347215
18705,120,101,21,80,99,0.20792079207714928,0.17499999999854166,0.190045248370754,0.98385847867201
34071,92,134,21,113,71,0.15671641790927826,0.22826086956273628,0.18584070748022552,1.0015248713344043
44483,98,214,16,198,82,0.07476635513983755,0.163265306120783,0.10256410213256083,1.076444797171972
13231,36,65,6,59,30,0.09230769230627218,0.16666666666203706,0.11881188072698755,0.9663915254012349
51191,122,191,24,168,98,0.12499999999934897,0.19672131147379737,0.15286624156209178,1.276557018517445
20743,55,70,2,68,53,0.028571428571020407,0.03636363636297521,0.03199999950668801,0.6175917678635825
18455,46,61,4,57,42,0.06557377049072831,0.08695652173724008,0.07476635464861561,1.0018851515255462
19389,111,108,14,94,97,0.12962962962842936,0.12612612612498986,0.127853880777465,0.9749709477798293
20752,90,96,6,90,84,0.06249999999934896,0.06666666666592592,0.06451612853208465,0.8253883737994149
19877,67,121,13,107,54,0.10833333333243056,0.19402985074337267,0.13903743269375732,1.1107581653299645
13220,62,92,13,78,49,0.142857142855573,0.20967741935145684,0.1699346400386176,0.7176015365349877
