Candidates,GT_count,Detected_count,TP,FP,FN,Precision,Recall,F1,LocalizationError
27552,128,192,5,187,123,0.026041666666531033,0.03906249999969483,0.031249999519804696,0.40680518779205566
35271,77,195,4,191,73,0.02051282051271532,0.0519480519473773,0.029411764299767527,0.4870303202890087
30088,52,148,1,147,51,0.0067567567567111035,0.01923076923039941,0.009999999615100017,0.5017353188185518
28873,15,161,1,160,14,0.006211180124185024,0.06666666666222222,0.011363636207580066,0.7249682539682567
18705,120,101,10,91,110,0.09900990098911872,0.08333333333263888,0.09049773705943778,0.5340955946793446
34071,92,134,8,126,84,0.059701492536867906,0.08695652173818526,0.07079645969363303,0.5288129035590349
44483,98,214,6,208,92,0.02803738317743908,0.06122448979529362,0.03846153803040763,0.43079132219181443
13231,36,65,2,63,34,0.030769230768757396,0.05555555555401235,0.03960395993647683,0.5102426285103404
51191,122,191,5,186,117,0.02617801047106713,0.04098360655704111,0.031948881313231745,0.5187771096636385
20743,55,70,1,69,54,0.014285714285510204,0.018181818181487605,0.015999999506944015,0.32738930358977336
18455,46,61,1,60,45,0.016393442622682077,0.02173913043431002,0.018691588294523557,0.7204896312833211
19389,111,108,5,103,106,0.04629629629586762,0.045045045044639236,0.04566209995629782,0.499940971611556
20752,90,96,3,93,87,0.03124999999967448,0.03333333333296296,0.03225806401630247,0.585394672464239
19877,67,121,2,119,65,0.01652892561969811,0.02985074626821118,0.02127659528570621,0.33465519734558224
13220,62,92,6,86,56,0.06521739130363893,0.09677419354682623,0.07792207744004048,0.49718927223598747
