Candidates,GT_count,Detected_count,TP,FP,FN,Precision,Recall,F1,LocalizationError
27552,128,190,3,187,125,0.015789473684127423,0.023437499999816896,0.018867924047189604,0.6264610401268981
35271,77,220,4,216,73,0.01818181818173554,0.0519480519473773,0.026936026551757763,0.7909991620892065
30088,52,167,1,166,51,0.005988023952059952,0.01923076923039941,0.009132419729113252,0.4408925264665362
28873,15,165,0,165,15,0.0,0.0,0.0,0.0
18705,120,103,3,100,117,0.02912621359195023,0.024999999999791665,0.026905829099077006,0.714403231810048
34071,92,143,4,139,88,0.027972027971832365,0.04347826086909263,0.034042552714748764,0.7501780152827063
44483,98,242,4,238,94,0.01652892561976641,0.04081632653019575,0.023529411354256066,0.6133849082182361
13231,36,67,0,67,36,0.0,0.0,0.0,0.0
51191,122,195,3,192,119,0.01538461538453649,0.02459016393422467,0.01892744432134862,0.6420530930026986
20743,55,69,1,68,54,0.014492753622978366,0.018181818181487605,0.016129031764177956,0.8963978090521248
18455,46,66,1,65,45,0.015151515151285582,0.02173913043431002,0.01785714237276787,0.9727356569342844
19389,111,119,4,115,107,0.03361344537786879,0.036036036035711386,0.034782608195954634,0.798204779827123
20752,90,111,2,109,88,0.018018018017855693,0.02222222222197531,0.019900497017697596,0.5572528515556776
19877,67,133,3,130,64,0.022556390977274014,0.04477611940231677,0.02999999955415001,0.8309807189134858
13220,62,99,3,96,59,0.030303030302724212,0.048387096773413116,0.037267080271285835,0.9577660320914362
43137,140,353,3,350,137,0.008498583569381024,0.02142857142841837,0.012170384988821198,0.8621926953556258
16521,37,70,1,69,36,0.014285714285510204,0.027027027026296568,0.018691588332256103,0.8491322736199188
8157,58,37,1,36,57,0.027027027026296568,0.017241379310047565,0.0210526311029363,0.9477551496370288
19846,133,159,7,152,126,0.04402515723242752,0.0526315789469727,0.04794520498308783,0.7307847643979705
30947,73,165,5,160,68,0.03030303030284665,0.06849315068399324,0.04201680629704824,0.7316627500887092
