GT_count,Detected_count,TP,FP,FN,Precision,Recall,F1,LocalizationError
128,199,19,181,109,0.094999999999525,0.14843749999884034,0.11585365805997176,2.7410234967155676
77,269,18,250,59,0.067164179104227,0.23376623376319783,0.10434782573960093,1.6544782336248833
52,179,8,171,44,0.04469273742991792,0.15384615384319528,0.06926406891460055,2.9704974348004622
15,185,5,180,10,0.027027027026880937,0.3333333333111111,0.049999999860749995,1.6780122892301716
120,117,29,88,91,0.24786324786112937,0.24166666666465278,0.2447257378946394,2.305907157805924
92,155,31,124,61,0.19999999999870968,0.33695652173546786,0.2510121452794834,2.3671717354812367
98,254,25,229,73,0.09842519685000621,0.25510204081372345,0.14204545414285252,2.336877068255671
36,65,8,57,28,0.12307692307502958,0.2222222222160494,0.1584158411222429,2.777473023617281
122,207,34,174,88,0.1634615384607526,0.27868852458787957,0.20606060559331496,2.521450437273677
55,78,8,72,47,0.09999999999874999,0.14545454545190084,0.11851851803390948,2.851003498450452
46,81,7,74,39,0.08641975308535284,0.15217391304017014,0.11023622000868002,2.6418506171522127
111,127,21,106,90,0.16535433070735941,0.18918918918748479,0.17647058773607088,2.398003041816529
90,119,10,109,80,0.08403361344467199,0.11111111110987654,0.09569377941301711,2.2881244273389867
67,150,10,140,57,0.06666666666622223,0.1492537313410559,0.09216589818981079,2.5382777702367174
62,101,17,84,45,0.1683168316815018,0.2741935483826743,0.2085889565812789,1.9650456559764384
140,388,22,365,118,0.056847545219491355,0.1571428571417347,0.0834914607100879,2.529918344105641
37,81,7,74,30,0.08641975308535284,0.18918918918407598,0.11864406736411948,2.090728251118047
58,43,11,32,47,0.255813953482423,0.1896551724105232,0.21782178168493288,2.4967875505373316
133,180,25,156,108,0.13812154696056286,0.18796992481061678,0.15923566830047872,2.4083674844226555
73,161,20,141,53,0.12422360248370048,0.27397260273597296,0.17094017050942362,2.5774617710582968
