Candidates,GT_count,Detected_count,TP,FP,FN,Precision,Recall,F1,LocalizationError
33587,128,210,25,180,103,0.12195121951160025,0.19531249999847414,0.15015014967598228,0.9230037246573451
41659,77,236,23,211,54,0.09829059829017825,0.29870129869741946,0.14790996747213117,1.3404072751741578
35937,52,166,14,149,38,0.08588957055162032,0.26923076922559175,0.13023255777159545,1.0156692882995169
34477,15,171,5,166,10,0.029239766081700355,0.3333333333111111,0.05376344071135391,1.2174765281057143
23134,120,113,30,81,90,0.2702702702678354,0.24999999999791667,0.2597402592387699,1.0933283494654278
38774,92,154,34,114,58,0.2297297297281775,0.3695652173872873,0.28333333285819445,1.2935865924940864
49983,98,235,24,209,74,0.10300429184505148,0.2448979591811745,0.14501510532247788,1.2803542396186416
15186,36,66,8,58,28,0.12121212121028466,0.2222222222160494,0.15686274463821606,1.7020009723741203
60488,122,209,34,168,88,0.16831683168233508,0.27868852458787957,0.20987654273906417,1.3207671603381017
23814,55,84,7,76,48,0.08433734939657425,0.12727272727041322,0.10144927488143247,1.6302568149651713
21351,46,74,8,66,38,0.10810810810664719,0.17391304347448017,0.13333333285833335,1.1544405567741722
22776,111,120,22,98,89,0.18333333333180554,0.19819819819641263,0.19047618997530028,1.218431995866098
24501,90,109,16,87,74,0.15533980582373455,0.17777777777580248,0.16580310830884049,0.8938051538439413
24454,67,138,15,117,52,0.11363636363550277,0.22388059701158386,0.1507537683960506,1.2184564698671416
15368,62,94,17,71,45,0.19318181817962293,0.2741935483826743,0.22666666617866665,0.8403187613736146
