Candidates,GT_count,Detected_count,TP,FP,FN,Precision,Recall,F1,LocalizationError
33587,128,210,10,200,118,0.04761904761882087,0.07812499999938965,0.05917159716221422,0.7366822405410144
41659,77,236,17,218,60,0.07234042553160706,0.2207792207763535,0.10897435860188609,0.9811589176585022
35937,52,166,8,157,44,0.04848484848455464,0.15384615384319528,0.07373271852891335,0.9793867994702006
34477,15,171,5,166,10,0.029239766081700355,0.3333333333111111,0.05376344071135391,1.2174765281057143
23134,120,113,18,93,102,0.16216216216070123,0.14999999999875,0.1558441553435655,0.813789536820967
38774,92,154,18,135,74,0.11764705882276048,0.19565217391091683,0.14693877504,0.8874290125407706
49983,98,235,18,217,80,0.07659574468052513,0.1836734693858809,0.10810810769208848,1.0432683435683725
15186,36,66,4,62,32,0.06060606060514233,0.1111111111080247,0.07843137209073434,0.8423719680702775
60488,122,209,23,184,99,0.11111111111057435,0.18852459016238915,0.13981762871185596,1.055834324253606
23814,55,84,4,80,51,0.04761904761848072,0.07272727272595042,0.05755395635546815,1.450275483858002
21351,46,74,5,69,41,0.06756756756665448,0.1086956521715501,0.08333333285916666,1.0671975417058301
22776,111,120,11,109,100,0.09166666666590277,0.09909909909820631,0.09523809473802965,0.8418788288380982
24501,90,109,7,102,83,0.06422018348564935,0.07777777777691358,0.07035175829782077,0.7232239883931678
24454,67,138,8,128,59,0.05882352941133218,0.11940298507284472,0.07881773354713777,0.6758262398184578
15368,62,94,14,80,48,0.14893617021118152,0.2258064516092612,0.17948717900591715,0.8166272575638619
