Candidates,GT_count,Detected_count,TP,FP,FN,Precision,Recall,F1,LocalizationError
33587,128,205,12,193,116,0.05853658536556812,0.09374999999926759,0.07207207159837316,0.8637736236349935
41659,77,232,16,215,61,0.06926406926376942,0.2077922077895092,0.10389610352042923,1.0174699398039189
35937,52,169,7,161,45,0.041666666666418654,0.13461538461279587,0.0636363632747934,0.9713483528052945
34477,15,175,5,170,10,0.02857142857126531,0.3333333333111111,0.05263157880138504,1.2174765281057143
23134,120,115,19,94,101,0.168141592918866,0.15833333333201388,0.16309012825441616,0.7114046976886337
38774,92,157,20,136,72,0.12820512820430638,0.21739130434546314,0.16129032211264308,0.8867033256280591
49983,98,241,18,223,80,0.07468879668018802,0.1836734693858809,0.10619468985383,1.113236660918245
15186,36,66,4,62,32,0.06060606060514233,0.1111111111080247,0.07843137209073434,0.8423719680702775
60488,122,213,25,186,97,0.11848341232171336,0.2049180327852056,0.15015014968496426,1.0979060555672098
23814,55,81,3,78,52,0.03703703703657979,0.054545454544462815,0.04411764657644897,1.392962409260087
21351,46,76,5,71,41,0.06578947368334487,0.1086956521715501,0.08196721264364419,1.0671975417058301
22776,111,121,12,109,99,0.09917355371818865,0.10810810810713416,0.10344827536210612,0.8410029248103065
24501,90,108,6,102,84,0.05555555555504115,0.06666666666592592,0.06060606010958066,0.5852890415821751
24454,67,132,8,122,59,0.06153846153798817,0.11940298507284472,0.08121827366198563,0.6758262398184578
15368,62,95,14,81,48,0.14736842105108033,0.2258064516092612,0.17834394856440422,0.7591127247896577
