Candidates,GT_count,Detected_count,TP,FP,FN,Precision,Recall,F1,LocalizationError
33587,128,210,7,203,121,0.033333333333174606,0.05468749999957276,0.041420117872378426,0.5313884275339857
41659,77,236,6,230,71,0.025423728813451594,0.07792207792106594,0.03833865777574539,0.403720631054638
35937,52,166,1,165,51,0.0060240963855058794,0.01923076923039941,0.009174311563252267,0.47279099458172014
34477,15,171,1,170,14,0.005847953216340071,0.06666666666222222,0.010752688023644355,0.5397147207421853
23134,120,113,10,102,110,0.08928571428491709,0.08333333333263888,0.0862068960515755,0.41049784446397786
38774,92,154,10,143,82,0.06535947712375582,0.10869565217273157,0.08163265259155353,0.3804207774243673
49983,98,235,6,229,92,0.025531914893508378,0.06122448979529362,0.03603603562044928,0.4214944799170117
15186,36,66,2,64,34,0.030303030302571164,0.05555555555401235,0.03921568581699347,0.5289634187501472
60488,122,209,8,201,114,0.03827751196153934,0.06557377049126578,0.04833836811431076,0.5835507341053352
23814,55,84,1,83,54,0.01190476190462018,0.018181818181487605,0.014388488730189965,0.39894905886653087
21351,46,74,2,72,44,0.027027027026661796,0.04347826086862004,0.03333333286000001,0.6877276579097812
22776,111,120,5,115,106,0.04166666666631944,0.045045045044639236,0.04329004279042747,0.5622769666144449
24501,90,109,3,106,87,0.02752293577956401,0.03333333333296296,0.030150753273099174,0.46043643786132654
24454,67,138,3,135,64,0.02173913043462508,0.04477611940231677,0.0292682922426175,0.5205012987756984
15368,62,94,5,89,57,0.05319148936113626,0.08064516128902185,0.06410256362278106,0.5062080396168122
