st_lp,st_tc,st_ic,bm_lp,bm_tc,bm_ic,st_th_cg,st_it_cg,bm_th_cg,bm_it_cg,st_th_GA+KL_cl,st_th_GA+KL_el,st_th_MWS_cl,st_th_MWS_el,st_it_GA+KL_cl,st_it_GA+KL_el,st_it_MWS_cl,st_it_MWS_el,bm_th_GA+KL_cl,bm_th_GA+KL_el,bm_th_MWS_cl,bm_th_MWS_el,bm_it_GA+KL_cl,bm_it_GA+KL_el,bm_it_MWS_cl,bm_it_MWS_el,bm_it_GA_cl,bm_it_GA_el,bm_it_KL_cl,bm_it_KL_el,bm_it_MWS+KL_cl,bm_it_MWS+KL_el
0.002,1.329,86.771,0.065,39.566,687.499,52.0,35.504,39.828,22.284,13.051,0.021,0,0,10.583,0.014,0,0,13.267,0.015,0,0,5.248,0.011,2.585,0.014,3.237,0.011,6.779,0.012,5.17,0.011
0.006,1.295,126.063,0.065,39.934,601.646,108.489,73.97,44.782,21.1,28.177,0.015,0,0,13.425,0.016,0,0,9.955,0.011,0,0,2.94,0.009,1.443,0.013,1.877,0.009,3.349,0.009,2.712,0.009
0.006,1.271,79.317,0.065,39.24,656.364,81.798,50.406,52.347,30.661,17.976,0.016,0,0,9.346,0.015,0,0,11.466,0.016,0,0,6.313,0.012,3.005,0.015,3.831,0.012,6.808,0.011,5.307,0.012
0.006,1.469,103.909,0.064,43.788,481.415,41.097,26.758,8.28,7.396,20.837,0.015,0,0,9.179,0.014,0,0,2.603,0.01,0,0,1.85,0.007,1.028,0.011,1.271,0.007,2.25,0.007,1.781,0.007
0.006,1.27,38.452,0.068,39.463,366.201,25.722,15.721,25.525,11.677,4.199,0.012,0,0,3.062,0.01,0,0,5.958,0.009,0,0,2.092,0.007,1.167,0.011,1.57,0.007,2.261,0.007,1.873,0.007
0.006,1.31,77.112,0.067,40.942,559.149,109.069,82.289,60.826,31.731,20.305,0.017,0,0,14.046,0.016,0,0,14.446,0.016,0,0,5.328,0.011,2.531,0.015,3.388,0.011,6.093,0.011,4.761,0.011
0.006,1.287,130.548,0.067,40.782,748.206,146.763,116.747,68.601,35.261,30.397,0.021,0,0,19.649,0.02,0,0,17.607,0.016,0,0,5.745,0.011,3.085,0.015,3.914,0.012,5.809,0.012,4.651,0.011
0.005,1.318,21.86,0.067,39.157,217.897,7.439,5.622,10.458,5.026,2.544,0.009,0,0,1.771,0.009,0,0,4.938,0.009,0,0,1.967,0.005,0.904,0.008,1.223,0.005,2.24,0.005,1.932,0.005
0.006,1.317,157.626,0.067,40.36,672.817,245.081,179.389,70.467,43.167,55.031,0.021,0,0,31.515,0.023,0,0,15.62,0.017,0,0,7.622,0.013,3.85,0.017,5.004,0.013,9.56,0.013,6.998,0.013
0.006,1.105,46.594,0.067,34.397,238.14,60.031,44.134,25.408,11.941,12.501,0.012,0,0,7.261,0.011,0,0,7.143,0.01,0,0,2.694,0.005,1.171,0.009,1.611,0.005,2.709,0.005,2.036,0.005
0.006,1.396,42.587,0.068,44.118,351.076,42.344,29.74,26.39,13.697,9.078,0.011,0,0,4.858,0.01,0,0,5.147,0.011,0,0,2.701,0.006,1.592,0.01,1.988,0.006,3.021,0.006,2.654,0.006
0.006,1.343,48.719,0.068,44.982,458.405,26.803,18.428,28.823,14.958,5.111,0.012,0,0,3.358,0.011,0,0,5.24,0.01,0,0,2.074,0.008,1.316,0.011,1.659,0.008,2.1,0.008,1.769,0.008
0.006,1.61,60.116,0.067,53.306,490.133,32.101,24.958,19.449,11.567,16.532,0.012,0,0,9.631,0.015,0,0,4.07,0.012,0,0,2.503,0.007,1.436,0.011,1.724,0.008,2.626,0.008,2.094,0.008
0.006,1.45,53.074,0.068,47.809,609.056,18.628,11.963,28.722,16.362,5.074,0.013,0,0,2.684,0.011,0,0,8.928,0.015,0,0,3.941,0.01,2.043,0.014,2.57,0.01,4.188,0.01,3.296,0.01
0.007,1.361,41.269,0.068,44.375,419.763,11.141,7.993,11.751,6.084,2.532,0.009,0,0,1.665,0.009,0,0,3.22,0.011,0,0,1.412,0.006,0.822,0.01,1.032,0.006,1.675,0.006,1.392,0.006
