name,Candidates,GT_count,Detected_count,TP,FP,FN,Precision,Recall,F1,LocalizationError
BM-IT STR,21122,80.6,166.8,1.4,165.4,79.2,0.9,1.6,1.1,0.6
ST-IT STR,25725,80.6,143.6,2.6,141.0,78.0,1.9,3.0,2.3,0.7
BM-TH STR,26166,80.6,172.2,1.0,171.3,79.6,0.5,1.2,0.7,0.5
ST-TH STR,30200,80.6,157.0,2.0,154.9,78.6,1.2,2.3,1.5,0.6
BM-IT MOD,21122,80.6,166.8,12.0,154.8,68.6,7.3,14.4,9.3,1.7
ST-IT MOD,25725,80.6,143.6,12.8,130.8,67.8,10.4,16.7,11.9,1.6
BM-TH MOD,26166,80.6,172.2,9.8,162.6,70.8,5.4,11.8,7.1,1.7
ST-TH MOD,30200,80.6,157.0,11.0,146.0,69.6,7.7,14.2,9.4,1.7
BM-IT LOO,21122,80.6,166.8,18.9,148.0,61.7,11.6,22.9,14.9,2.6
ST-IT LOO,25725,80.6,143.6,17.4,126.4,63.2,13.8,22.3,16.0,2.2
BM-TH LOO,26166,80.6,172.2,15.4,156.8,65.2,8.8,19.0,11.6,2.6
ST-TH LOO,30200,80.6,157.0,16.8,140.4,63.8,12.0,21.1,14.5,2.4
