Candidates,GT_count,Detected_count,TP,FP,FN,Precision,Recall,F1,LocalizationError
31398,128,195,34,157,94,0.1780104712032565,0.2656249999979248,0.21316614371879208,0.9363782047981946
27159,77,162,18,140,59,0.11392405063219037,0.23376623376319783,0.1531914889198008,1.3025068424493704
34156,52,191,12,175,40,0.06417112299430924,0.23076923076479292,0.10041840970053044,1.4214518990218663
20728,15,151,2,149,13,0.013245033112495067,0.13333333332444444,0.02409638537748585,1.748973481464288
21996,120,133,24,108,96,0.18181818181680443,0.19999999999833332,0.19047618997581256,1.290983130085593
32366,92,174,24,142,68,0.1445783132521411,0.26086956521455573,0.18604651116759807,1.2933321871072836
34158,98,186,20,163,78,0.10928961748574159,0.20408163265097876,0.14234875399313585,1.2480225250944688
14735,36,73,7,65,29,0.09722222222087192,0.19444444443904324,0.12962962918278462,1.4754654682322765
37657,122,196,30,161,92,0.1570680628264028,0.2459016393422467,0.1916932902578979,1.2743024052398448
16352,55,86,7,73,48,0.08749999999890624,0.12727272727041322,0.10370370321931413,1.8880678931523154
18856,46,88,10,75,36,0.11764705882214532,0.2173913043431002,0.15267175526717555,1.0772532917714013
24156,111,164,24,136,87,0.14999999999906252,0.21621621621426831,0.17712177073275148,1.142487260523647
22426,90,144,23,114,67,0.1678832116776067,0.25555555555271603,0.20264317132581655,1.2282863464455223
29100,67,157,18,133,49,0.11920529801245561,0.26865671641390065,0.16513761425162024,1.6759744562415713
18181,62,142,19,122,43,0.1347517730486897,0.30645161289828304,0.18719211780048048,1.2214008915330548
29594,140,254,24,227,116,0.09561752988009714,0.17142857142734697,0.12276214787726401,1.3320022838096839
30846,37,166,14,146,23,0.08749999999945313,0.37837837836815197,0.14213197938890465,1.5621222995385935
13210,58,56,11,44,47,0.19999999999636364,0.1896551724105232,0.19469026498363223,1.361606798027789
28365,133,202,43,154,90,0.21827411167401892,0.3233082706742609,0.26060606012328746,1.1563467500766493
38998,73,250,22,228,51,0.087999999999648,0.30136986300957025,0.13622290986601998,1.5475828525704893
22879,79,159,14,143,65,0.08917197452172503,0.1772151898711745,0.11864406735022265,1.1312499729315724
24901,94,153,30,119,64,0.20134228187784337,0.31914893616681755,0.24691357977049572,1.4524033015539084
29886,70,230,16,212,54,0.07017543859618344,0.22857142856816326,0.10738254997540649,1.08867962615729
23255,111,159,37,122,74,0.23270440251425972,0.33333333333033033,0.2740740735878464,1.4438747332155235
31773,103,226,22,201,81,0.09865470851973698,0.21359223300763502,0.13496932472029433,1.6536630459718502
24054,69,178,22,150,47,0.1279069767434424,0.31884057970552404,0.18257261369769803,1.5373026428281136
35716,128,267,28,232,100,0.1076923076918935,0.21874999999829103,0.14432989646434266,1.4135472990498363
32891,120,237,30,204,90,0.12820512820458033,0.24999999999791667,0.16949152497462416,1.128683092290119
30552,62,171,15,153,47,0.08928571428518282,0.24193548386706556,0.1304347822137618,1.605892454240497
18405,58,111,16,93,42,0.14678899082434138,0.27586206896076104,0.19161676601140235,1.421014890246771
18512,105,122,23,96,82,0.19327731092274555,0.21904761904553288,0.20535714235726243,1.2923552553462778
35658,193,255,35,213,158,0.14112903225749546,0.18134715025812775,0.15873015823721598,1.7199110630301957
20726,109,122,24,90,85,0.21052631578762696,0.22018348623651207,0.21524663626962134,1.6862845536383901
19466,69,124,20,103,49,0.1626016260149382,0.2898550724595673,0.20833333287071393,1.974594633401948
19949,71,104,16,87,55,0.15533980582373455,0.22535211267288235,0.18390804549180867,1.6896875655983319
21371,109,169,32,135,77,0.19161676646591846,0.29357798164868276,0.2318840574914146,1.3011918224742338
