Candidates,GT_count,Detected_count,TP,FP,FN,Precision,Recall,F1,LocalizationError
31398,128,195,20,173,108,0.10362694300464442,0.1562499999987793,0.12461059142003666,0.7088310687462002
27159,77,162,9,150,68,0.05660377358454967,0.11688311688159891,0.07627118600039501,1.0635278432797586
34156,52,191,7,184,45,0.03664921465949399,0.13461538461279587,0.05761316838740707,1.1223273953551083
20728,15,151,2,149,13,0.013245033112495067,0.13333333332444444,0.02409638537748585,1.748973481464288
21996,120,133,16,117,104,0.12030075187879474,0.13333333333222222,0.12648221293905546,1.0661343592810473
32366,92,174,18,154,74,0.10465116279008925,0.19565217391091683,0.136363635908517,1.0934138806779017
34158,98,186,16,169,82,0.08648648648601899,0.163265306120783,0.11307420449345103,1.0342230984512761
14735,36,73,4,69,32,0.054794520547194595,0.1111111111080247,0.07339449496911035,1.0101985019949107
37657,122,196,21,170,101,0.10994764397848196,0.1721311475395727,0.1341853030378181,0.950038045998989
16352,55,86,3,81,52,0.035714285713860545,0.054545454544462815,0.04316546714704208,1.1994604221318372
18856,46,88,7,81,39,0.07954545454455061,0.15217391304017014,0.10447761148785921,0.838662291649504
24156,111,164,18,145,93,0.11042944785208327,0.16216216216070123,0.13138686083091802,1.138329139723074
22426,90,144,10,132,80,0.07042253521077167,0.11111111110987654,0.08620689607609987,0.8931604486389991
29100,67,157,14,138,53,0.09210526315728879,0.20895522387747828,0.1278538808526928,1.3938306226575485
18181,62,142,14,128,48,0.09859154929508035,0.2258064516092612,0.13725490153633216,0.893258034001872
29594,140,254,14,239,126,0.055335968379227926,0.09999999999928572,0.07124681887939709,0.8725901460493917
30846,37,166,10,153,27,0.06134969325115737,0.2702702702629657,0.09999999969745002,1.1267566645909681
13210,58,56,9,46,49,0.16363636363338843,0.15517241379042807,0.15929203489576316,1.0598669477911298
28365,133,202,32,168,101,0.1599999999992,0.24060150375758949,0.19219219171127885,1.035457245800637
38998,73,250,13,237,60,0.051999999999792004,0.17808219177838241,0.08049535568679851,0.9950715178546278
22879,79,159,10,149,69,0.06289308176061074,0.12658227847941034,0.08403361300116517,1.0186820941996257
24901,94,153,22,130,72,0.14473684210431095,0.23404255318899952,0.1788617881442263,1.1012493322174743
29886,70,230,10,220,60,0.04347826086937619,0.14285714285510204,0.06666666630844445,0.8971391359671876
23255,111,159,23,136,88,0.1446540880494047,0.20720720720534047,0.1703703698849108,0.9765970411794299
31773,103,226,16,210,87,0.0707964601766779,0.15533980582373455,0.09726443725926406,1.1604275385439713
24054,69,178,16,158,53,0.09195402298797728,0.23188405796765385,0.13168724239062474,1.3831723462415826
35716,128,267,18,247,110,0.06792452830163048,0.14062499999890138,0.0916030529954095,1.0952836114669418
32891,120,237,20,216,100,0.08474576271150532,0.16666666666527777,0.11235955011425323,1.0830103777244395
30552,62,171,9,162,53,0.05263157894706064,0.14516129032023933,0.0772532184928807,1.0415696835081094
18405,58,111,8,101,50,0.07339449541217069,0.13793103448038052,0.09580838277901682,1.0203191130035534
18512,105,122,15,106,90,0.1239669421477358,0.1428571428557823,0.13274336233318973,0.7868587115638134
35658,193,255,16,237,177,0.06324110671911763,0.08290155440371554,0.07174887843249413,1.4826598455307785
20726,109,122,13,106,96,0.10924369747807358,0.11926605504477737,0.11403508721925977,0.9253271102097067
19466,69,124,10,114,59,0.08064516128967221,0.14492753622978366,0.10362694254471262,1.0930085096270825
19949,71,104,10,93,61,0.0970873786398341,0.14084507042055147,0.11494252825122209,1.150317345198515
21371,109,169,24,143,85,0.14371257484943886,0.22018348623651207,0.17391304299908106,1.026470336713837
29853,75,167,9,157,66,0.05421686746955291,0.1199999999984,0.07468879625116649,1.1746234338463633
23086,87,100,11,89,76,0.10999999999889999,0.1264367816077421,0.11764705832468757,1.2170095946288055
20846,69,129,14,112,55,0.11111111111022927,0.2028985507216971,0.14358974313099276,1.048397704753511
16286,55,93,9,84,46,0.09677419354734651,0.16363636363338843,0.1216216211529401,1.0734293898689677
17700,71,89,16,71,55,0.1839080459748976,0.22535211267288235,0.20253164507218394,1.1067188745590255
11245,41,64,10,53,31,0.1587301587276392,0.2439024390184414,0.19230769182636834,0.8142576477863634
36418,103,275,20,254,83,0.07299270072966062,0.1941747572796682,0.10610079535827312,1.0712893654520146
28569,128,163,25,135,103,0.15624999999902345,0.19531249999847414,0.17361111061607834,1.1903389768766537
11015,27,56,7,49,20,0.12499999999776787,0.25925925924965704,0.1686746983521556,1.2905081720605283
27279,53,171,12,156,41,0.07142857142814626,0.22641509433535068,0.10859728470227882,1.583791175245665
40156,52,291,13,276,39,0.044982698961782065,0.24999999999519232,0.07624633405192593,1.1722598654374001
21371,96,169,18,150,78,0.1071428571422194,0.18749999999804687,0.13636363589979336,1.2706233844176995
38668,62,295,16,279,46,0.054237288135409366,0.25806451612486997,0.08963585405421777,1.121575904442838
23432,89,161,6,155,83,0.03726708074511015,0.06741573033632117,0.047999999541088016,0.8700665858195031
31251,98,190,16,172,82,0.08510638297827071,0.163265306120783,0.11188811143684287,1.4388893220784438
19058,46,82,9,73,37,0.10975609755963711,0.1956521739087902,0.1406249995373535,0.859986252854654
15408,95,104,12,92,83,0.11538461538350592,0.12631578947235456,0.12060301457518749,1.1309791126383404
