Candidates,GT_count,Detected_count,TP,FP,FN,Precision,Recall,F1,LocalizationError
31398,128,195,10,185,118,0.0512820512817883,0.07812499999938965,0.06191950416509312,0.39653642698314284
27159,77,162,2,160,75,0.012345679012269472,0.02597402597368865,0.016736401236743068,0.49690745676046766
34156,52,191,2,189,50,0.010471204188426854,0.03846153846079882,0.016460905013260183,0.5397336094999139
20728,15,151,0,151,15,0.0,0.0,0.0,0.0
21996,120,133,8,125,112,0.06015037593939737,0.06666666666611111,0.0632411062201878,0.5045246994127066
32366,92,174,8,165,84,0.04624277456620669,0.08695652173818526,0.06037735803682451,0.556808329190791
34158,98,186,6,179,92,0.03243243243225712,0.06122448979529362,0.042402826402077695,0.6233630447697417
14735,36,73,1,72,35,0.013698630136798649,0.027777777777006175,0.018348623410487343,0.2987137726215263
37657,122,196,6,190,116,0.030612244897803,0.04918032786844934,0.037735848583442116,0.6474858473534392
16352,55,86,1,85,54,0.011627906976608978,0.018181818181487605,0.014184396687088192,0.4940692525097091
18856,46,88,2,86,44,0.022727272727014462,0.04347826086862004,0.029850745817331263,0.18249249925747577
24156,111,164,6,156,105,0.03703703703680841,0.05405405405356708,0.04395604347317152,0.4250253547619393
22426,90,144,2,142,88,0.01388888888879244,0.02222222222197531,0.017094016620498226,0.3797089801772451
29100,67,157,0,157,67,0.0,0.0,0.0,0.0
18181,62,142,5,137,57,0.035211267605385836,0.08064516128902185,0.04901960741955018,0.4558565232303605
29594,140,254,6,248,134,0.02362204724400149,0.04285714285683674,0.03045685233358242,0.45944965134654664
30846,37,166,2,164,35,0.012048192771011759,0.054054054052593135,0.019704433199252594,0.32062192232980513
13210,58,56,3,53,55,0.053571428570471945,0.05172413793014269,0.05263157844659896,0.5709742317605474
28365,133,202,15,185,118,0.074999999999625,0.11278195488637006,0.09009008960978997,0.49476913766908753
38998,73,250,3,247,70,0.011999999999952,0.04109589041039594,0.018575851043219054,0.43655487252892655
22879,79,159,2,157,77,0.012578616352122148,0.02531645569588207,0.016806722245427595,0.5509523369050208
24901,94,153,7,146,87,0.04575163398662908,0.07446808510559076,0.05668016147138947,0.5747369652175995
29886,70,230,4,226,66,0.017391304347750474,0.057142857142040815,0.026666666308711118,0.3445754106774643
23255,111,159,9,150,102,0.05660377358454967,0.08108108108035061,0.06666666618197532,0.37889562211283107
31773,103,226,4,222,99,0.017699115044169475,0.03883495145593364,0.02431610899223031,0.4736109742993542
24054,69,178,1,177,68,0.005617977528058326,0.014492753622978366,0.00809716558920817,0.16388151117199484
35716,128,267,6,261,122,0.022471910112275388,0.04687499999963379,0.03037974639720558,0.6291364483551803
32891,120,237,7,229,113,0.029661016949026862,0.05833333333284722,0.03932584224949503,0.4249239797871005
30552,62,171,2,169,60,0.011695906432680142,0.032258064515608746,0.01716738158352522,0.37221538544674293
18405,58,111,2,109,56,0.018018018017855693,0.03448275862009513,0.023668638602149794,0.5098350093387046
18512,105,122,8,113,97,0.06611570247879243,0.07619047618975057,0.0707964596788707,0.4313014097231074
35658,193,255,2,253,191,0.007843137254871204,0.010362694300464442,0.00892857093810789,0.457164874169781
20726,109,122,6,116,103,0.04918032786844934,0.05504587155912802,0.05194805144918574,0.3332062434941489
19466,69,124,3,121,66,0.024193548386901666,0.043478260868935095,0.031088082441837372,0.4873584974602867
19949,71,104,4,100,67,0.038461538461168635,0.05633802816822059,0.045714285231542855,0.6005482151159522
21371,109,169,6,162,103,0.03571428571407313,0.05504587155912802,0.04332129916136012,0.4928561554757513
29853,75,167,2,165,73,0.011976047904119904,0.02666666666631111,0.01652892519196094,0.31012431901612036
23086,87,100,4,96,83,0.0399999999996,0.0459770114937244,0.042780748165060486,0.5343569979057028
20846,69,129,2,127,67,0.015503875968872064,0.02898550724595673,0.020202019747729838,0.5772044295517818
16286,55,93,3,90,52,0.03225806451578217,0.054545454544462815,0.04054054007295472,0.6022875424031854
17700,71,89,4,85,67,0.044943820224214115,0.05633802816822059,0.04999999950570313,0.46604752903264596
11245,41,64,5,59,36,0.0781249999987793,0.1219512195092207,0.09523809476027212,0.4194916651420863
36418,103,275,8,267,95,0.029090909090803307,0.07766990291186728,0.042328041931342916,0.5164393564607563
28569,128,163,1,162,127,0.006134969325115737,0.0078124999999389655,0.0068728517408628035,0.3644619252810267
11015,27,56,3,53,24,0.053571428570471945,0.11111111110699588,0.07228915618580346,0.4942262422648685
27279,53,171,0,171,53,0.0,0.0,0.0,0.0
40156,52,291,4,287,48,0.013745704467306717,0.07692307692159764,0.023323614902974105,0.5572766843185449
21371,96,169,4,165,92,0.02366863905311439,0.04166666666623264,0.03018867878299752,0.5263655009273416
38668,62,295,3,292,59,0.010169491525389256,0.048387096773413116,0.01680672240196471,0.6652404471988022
23432,89,161,4,157,85,0.024844720496740098,0.044943820224214115,0.03199999954121601,0.527472427477244
31251,98,190,1,189,97,0.005263157894709142,0.010204081632548937,0.006944443995418626,0.20470290528259022
19058,46,82,4,78,42,0.048780487804283165,0.08695652173724008,0.062499999538574234,0.41607101510334105
15408,95,104,4,100,91,0.038461538461168635,0.04210526315745152,0.0402010045257443,0.5691908017314606
29543,103,247,6,241,97,0.024291497975610157,0.05825242718390046,0.03428571387015511,0.4845576463102641
28902,89,185,5,180,84,0.027027027026880937,0.056179775280267644,0.036496349926074916,0.36972409669482814
18319,93,138,7,131,86,0.050724637680791856,0.07526881720349173,0.06060606012451041,0.5046110053942577
16863,66,124,3,120,63,0.02439024390224073,0.04545454545385675,0.03174603129117327,0.3674827434021897
23087,103,148,5,143,98,0.03378378378355552,0.04854368931991705,0.03984063696595293,0.4945590956279132
25860,85,142,7,135,78,0.049295774647540175,0.08235294117550172,0.061674008341555245,0.4780744899727138
21621,85,160,5,155,80,0.03124999999980469,0.05882352941107266,0.040816326077134535,0.4561129732436709
28308,122,171,7,164,115,0.040935672514380496,0.057377049179857566,0.04778156947952801,0.546133596084429
30593,53,221,3,218,50,0.01357466063342274,0.05660377358383767,0.02189780990678779,0.5390933222297822
23643,112,148,10,138,102,0.06756756756711103,0.08928571428491709,0.07692307643207101,0.5022220356319479
27244,112,167,3,164,109,0.017964071856179858,0.02678571428547513,0.021505375863362507,0.44553290993730954
34075,42,242,1,241,41,0.004132231404941603,0.023809523808956918,0.007042253269043851,0.12560441527269667
22241,31,94,5,89,26,0.05319148936113626,0.16129032257544224,0.079999999625728,0.4568800624715835
18664,79,98,5,93,74,0.05102040816274469,0.06329113923970517,0.056497174646365986,0.37584676788345367
19712,38,133,2,131,36,0.015037593984849343,0.05263157894598339,0.023391812519544482,0.4878442681465027
18323,48,69,2,67,46,0.02898550724595673,0.041666666665798616,0.03418803370355761,0.39449503434547234
21413,79,129,5,124,74,0.03875968992218016,0.06329113923970517,0.048076922605353185,0.45031596809278385
26747,91,168,1,167,90,0.005952380952345522,0.01098901098889023,0.007722007266140961,0.1603921437198124
24426,40,160,1,158,39,0.006289308176061074,0.024999999999375,0.0100502509349764,0.15515640285495105
26494,56,170,7,163,49,0.041176470587993085,0.12499999999776787,0.06194690228154125,0.4351008457496773
24897,127,146,8,138,119,0.054794520547569905,0.06299212598375596,0.058608058110051126,0.44086032347364623
23159,53,143,7,136,46,0.04895104895070664,0.13207547169562123,0.0714285710332674,0.5174997812144289
28493,102,170,5,164,97,0.029585798816392984,0.049019607842656666,0.03690036853397966,0.35945480376955286
24201,59,140,0,140,59,0.0,0.0,0.0,0.0
27800,101,149,7,142,94,0.046979865771496786,0.0693069306923831,0.05599999951798401,0.6228399419454097
28474,148,196,4,192,144,0.020408163265202,0.027027027026844414,0.023255813463088165,0.4320430715311516
30185,59,162,1,161,58,0.006172839506134736,0.016949152542085608,0.00904977336418175,0.2655512658368803
32626,100,207,7,200,93,0.03381642512060958,0.0699999999993,0.045602605423633154,0.3919345524530611
16363,41,117,4,113,37,0.03418803418774198,0.09756097560737657,0.05063291100745073,0.5593775292139597
21682,42,99,1,98,41,0.01010101010090807,0.023809523808956918,0.014184396744630566,0.4701605271944367
19611,76,158,6,150,70,0.03846153846129192,0.07894736842001385,0.05172413749004163,0.33600434150880026
12078,145,81,1,80,144,0.012345679012193262,0.006896551724090369,0.008849557062142714,0.5647246047852887
39060,92,282,8,274,84,0.028368794326140537,0.08695652173818526,0.0427807482919157,0.5852670047027706
22160,136,163,10,153,126,0.06134969325115737,0.07352941176416523,0.06688963161065313,0.4188811252637965
9562,66,56,4,52,62,0.07142857142729592,0.06060606060514233,0.06557376999408761,0.5877225887933623
13831,71,93,4,89,67,0.04301075268770956,0.05633802816822059,0.04878048731328079,0.27487534910079237
28267,142,198,6,192,136,0.03030303030287726,0.04225352112646301,0.035294117160415237,0.42033172158303583
19606,63,97,2,95,61,0.020618556700818365,0.03174603174552784,0.024999999522265635,0.5344973544576042
16188,32,105,2,103,30,0.019047619047437642,0.06249999999804688,0.029197079933507387,0.5311326322178458
9918,45,66,4,62,41,0.06060606060514233,0.08888888888691358,0.07207207158866975,0.36762413716711156
19554,55,81,6,75,49,0.07407407407315958,0.10909090908892563,0.08823529363462371,0.4810282970390534
8369,24,41,2,39,22,0.04878048780368829,0.0833333333298611,0.06153846107076925,0.32967658053358384
10012,62,54,5,49,57,0.09259259259087792,0.08064516128902185,0.08620689605261594,0.5338889331629142
32777,51,124,3,120,48,0.02439024390224073,0.05882352941061131,0.03448275820590568,0.5078206841897076
31543,132,242,6,236,126,0.024793388429649614,0.045454545454201106,0.03208556104040722,0.5440201600145828
29359,24,134,3,131,21,0.022388059701325465,0.12499999999479167,0.037974683286172095,0.7509784701182097
13649,40,66,5,57,35,0.08064516128902185,0.12499999999687501,0.09803921520761245,0.5361946691067183
