Candidates,GT_count,Detected_count,TP,FP,FN,Precision,Recall,F1,LocalizationError
35516,128,222,31,187,97,0.14220183486173302,0.24218749999810793,0.17919075097788098,1.1205137051560785
31473,77,173,23,145,54,0.13690476190394701,0.29870129869741946,0.18775510160826325,1.1231175999383758
37521,52,212,13,193,39,0.06310679611619852,0.24999999999519232,0.10077519347581276,1.264609730338925
20537,15,133,2,131,13,0.015037593984849343,0.13333333332444444,0.02702702684450329,1.13120272698413
26757,120,140,30,104,90,0.22388059701325463,0.24999999999791667,0.23622047194060386,1.1712400108457242
37694,92,180,19,157,73,0.10795454545393209,0.20652173912818997,0.14179104432418133,1.2008902675353423
39278,98,196,24,168,74,0.12499999999934897,0.2448979591811745,0.16551724093070153,1.3074851536171161
17894,36,78,9,66,27,0.1199999999984,0.24999999999305558,0.16216216172096418,1.3917887065312256
41484,122,205,36,164,86,0.17999999999910002,0.295081967210696,0.223602484,1.1022347543227033
20279,55,84,15,67,40,0.18292682926606185,0.27272727272231406,0.21897810170600457,2.0581808416783782
22136,46,99,12,85,34,0.12371134020491019,0.2608695652117202,0.16783216739341775,1.3634388884878244
27679,111,169,24,141,87,0.14545454545366393,0.21621621621426831,0.17391304299614052,1.08993509674828
25045,90,148,24,121,66,0.16551724137816887,0.2666666666637037,0.20425531867458577,1.1054480580614423
33056,67,148,17,129,50,0.11643835616358604,0.253731343279795,0.15962441271282152,1.8598261139516061
20964,62,172,18,153,44,0.10526315789412127,0.29032258064047867,0.15450643737633774,0.9527267637189644
33523,140,305,30,274,110,0.09868421052599118,0.2142857142841837,0.13513513470274327,1.3548618496231255
34364,37,172,11,159,26,0.06470588235256056,0.29729729728926224,0.10628019294209898,1.599290223786358
15397,58,66,14,50,44,0.218749999996582,0.2413793103406659,0.22950819621875837,1.0659637609508175
32640,133,238,49,174,84,0.21973094170305055,0.3684210526288089,0.2752808984068142,1.083536272166975
44342,73,291,21,268,52,0.07266435986134026,0.28767123287277163,0.11602209912488935,1.580232915660348
26305,79,166,16,148,63,0.09756097560916122,0.20253164556705655,0.13168724235844806,0.987259848056626
29784,94,169,28,139,66,0.16766467065767868,0.29787234042236305,0.21455938651065015,1.1445461897706757
35280,70,254,19,233,51,0.0753968253965262,0.27142857142469384,0.11801242201925079,1.1641972283242579
27079,111,196,38,155,73,0.1968911917088244,0.34234234233925814,0.2499999995347343,1.3302229531067804
35704,103,251,23,223,80,0.09349593495896953,0.22330097087161843,0.1318051571763122,1.2331227335164285
27958,69,204,21,182,48,0.10344827586155937,0.3043478260825457,0.15441176432609752,1.6478524804135313
42163,128,339,30,301,98,0.09063444108733948,0.23437499999816896,0.13071895384559595,1.4413978734324944
39094,120,274,31,239,89,0.11481481481438958,0.2583333333311805,0.15897435854750822,0.9139146672232281
34673,62,182,15,165,47,0.08333333333287038,0.24193548386706556,0.12396694176661431,1.6537551832347859
21669,58,99,16,83,42,0.16161616161452913,0.27586206896076104,0.20382165558245768,1.4410874971417034
21234,105,133,23,105,82,0.1796874999985962,0.21904761904553288,0.1974248922070401,1.0590281027576476
38904,193,277,41,234,152,0.14909090909036696,0.21243523315952106,0.17521367472827634,1.609000562110371
24412,109,140,27,111,82,0.19565217391162573,0.24770642201607607,0.21862348128649872,1.5255093674759517
22274,69,144,19,121,50,0.13571428571331634,0.27536231883658896,0.18181818137414438,1.297501293250284
23684,71,117,21,95,50,0.18103448275706005,0.2957746478831581,0.22459893000783554,1.4724046417094994
25141,109,188,37,146,72,0.20218579234862194,0.33944954128128946,0.25342465706462286,1.1995616500487547
33585,75,173,11,162,64,0.0635838150285342,0.1466666666647111,0.08870967699671568,1.2114580113109448
27336,87,113,23,90,64,0.20353982300704831,0.2643678160889153,0.22999999950614997,1.9130386428973696
24547,69,143,22,118,47,0.1571428571417347,0.31884057970552404,0.2105263153451615,1.2091081204493153
17792,55,102,13,86,42,0.13131313131180491,0.23636363635933885,0.16883116836979253,1.2103692778776287
21162,71,95,21,67,50,0.23863636363365184,0.2957746478831581,0.26415094289861957,1.315056428671119
11420,41,57,14,41,27,0.25454545454082644,0.341463414625818,0.29166666617122394,1.1124751427312822
43330,103,306,32,269,71,0.1063122923584508,0.3106796116474691,0.1584158412034727,1.4855165126643748
32638,128,189,46,135,82,0.2541436464074357,0.3593749999971924,0.2977346273444979,1.1948803575280238
12742,27,63,9,48,18,0.1578947368393352,0.33333333332098763,0.21428571384438774,1.8072918432329586
