Candidates,GT_count,Detected_count,TP,FP,FN,Precision,Recall,F1,LocalizationError
35516,128,222,18,203,110,0.08144796380053644,0.14062499999890138,0.1031518619990969,0.7958115425511262
31473,77,173,14,158,63,0.08139534883673608,0.18181818181582055,0.11244979876866502,1.0383660797230991
37521,52,212,9,202,43,0.04265402843581681,0.17307692307359468,0.06844106432101087,1.1504849060907931
20537,15,133,1,132,14,0.007518796992424671,0.06666666666222222,0.013513513331172391,1.1149371999999897
26757,120,140,20,118,100,0.14492753623083388,0.16666666666527777,0.15503875919115437,0.9601704095477027
37694,92,180,13,166,79,0.07262569832361662,0.14130434782455104,0.09594095896041721,0.9042479150260706
39278,98,196,15,179,83,0.07731958762846743,0.15306122448823406,0.10273972558073748,0.839249653507131
17894,36,78,6,72,30,0.07692307692209073,0.16666666666203706,0.10526315746075718,0.8334956063206064
41484,122,205,26,180,96,0.12621359223239703,0.21311475409661382,0.15853658489767994,0.9422764305214647
20279,55,84,6,77,49,0.07228915662563506,0.10909090908892563,0.08695652125845411,1.0203719155560085
22136,46,99,7,92,39,0.0707070707063565,0.15217391304017014,0.09655172370340072,0.7824518419876009
27679,111,169,16,152,95,0.09523809523752835,0.14414414414284554,0.1146953400218394,0.9263134312693376
25045,90,148,11,137,79,0.07432432432382213,0.1222222222208642,0.09243697431883341,0.833333279553086
33056,67,148,11,136,56,0.07482993197228008,0.16417910447516149,0.10280373788667134,1.518721600154207
20964,62,172,17,154,45,0.0994152046777812,0.2741935483826743,0.14592274638928696,0.9932106909965507
33523,140,305,17,288,123,0.055737704917850045,0.1214285714277041,0.07640449395042041,0.7720784910816687
34364,37,172,5,167,32,0.029069767441691458,0.13513513513148284,0.047846889660309984,0.8521578219689043
15397,58,66,11,53,47,0.17187499999731445,0.1896551724105232,0.18032786835071216,1.1630916839619216
32640,133,238,37,196,96,0.15879828326112105,0.27819548871971284,0.20218579188594762,0.853430195170428
44342,73,291,15,274,58,0.051903114186671616,0.20547945205197973,0.08287292785435425,1.0653559529496115
