Candidates,GT_count,Detected_count,TP,FP,FN,Precision,Recall,F1,LocalizationError
35516,128,222,7,215,121,0.031531531531389496,0.05468749999957276,0.039999999535836744,0.35485301953585474
31473,77,173,3,170,74,0.017341040462327508,0.03896103896053297,0.023999999573536008,0.45645544202238425
37521,52,212,3,209,49,0.014150943396159667,0.05769230769119823,0.022727272410755287,0.422302806531504
20537,15,133,0,133,15,0.0,0.0,0.0,0.0
26757,120,140,11,129,109,0.07857142857086735,0.09166666666590277,0.0846153841176923,0.5678574485054931
37694,92,180,7,172,85,0.03910614525117818,0.07608695652091209,0.05166051615631595,0.3284565611306417
39278,98,196,7,189,91,0.035714285714103504,0.07142857142784256,0.04761904717427924,0.5379704910460167
17894,36,78,2,76,34,0.02564102564069691,0.05555555555401235,0.03508771886549708,0.34071646987199933
41484,122,205,9,196,113,0.043902439024176086,0.073770491802674,0.055045871091509324,0.5755129767536061
20279,55,84,3,81,52,0.035714285713860545,0.054545454544462815,0.04316546714704208,0.4203131539914944
22136,46,99,2,97,44,0.02020202020181614,0.04347826086862004,0.02758620646297266,0.4418478110485154
27679,111,169,7,162,104,0.04142011834295018,0.06306306306249493,0.04999999952109695,0.47061024438614
25045,90,148,5,143,85,0.03378378378355552,0.05555555555493827,0.042016806252030234,0.4005211247777237
33056,67,148,2,146,65,0.013513513513422207,0.02985074626821118,0.018604650733585734,0.6010903527723861
20964,62,172,4,168,58,0.023255813953353164,0.06451612903121749,0.03418803379823217,0.5503559724893616
33523,140,305,8,297,132,0.026229508196635314,0.05714285714244898,0.03595505574835501,0.41992442862426993
34364,37,172,3,169,34,0.017441860465014874,0.08108108107888971,0.028708133679631882,0.6952632200621824
15397,58,66,3,63,55,0.04545454545385675,0.05172413793014269,0.04838709627549429,0.6534529470822522
32640,133,238,16,222,117,0.06722689075602006,0.12030075187879474,0.08625336881182206,0.4935469148988736
44342,73,291,5,285,68,0.017241379310285375,0.06849315068399324,0.027548209044919527,0.30264718629314047
26305,79,166,4,162,75,0.024096385542023518,0.05063291139176414,0.032653060787271974,0.46468340243974393
29784,94,169,5,164,89,0.029585798816392984,0.05319148936113626,0.03802281322858506,0.5204854961969027
35280,70,254,6,248,64,0.02362204724400149,0.08571428571306122,0.037037036698064324,0.32561113346230236
27079,111,196,12,184,99,0.061224489795606,0.10810810810713416,0.07817589530329234,0.4957221043804314
35704,103,251,4,247,99,0.01593625498001619,0.03883495145593364,0.02259886964376457,0.4434574274546166
27958,69,204,3,201,66,0.01470588235286909,0.043478260868935095,0.021978021600128815,0.7562262064848158
42163,128,339,5,334,123,0.01474926253682965,0.03906249999969483,0.0214132758332424,0.4856396043911942
39094,120,274,8,266,112,0.029197080291864245,0.06666666666611111,0.04060913663201835,0.3825908626623057
34673,62,182,0,182,62,0.0,0.0,0.0,0.0
21669,58,99,4,95,54,0.04040404040363228,0.06896551724019026,0.05095541354618849,0.5832989276633118
21234,105,133,6,127,99,0.04511278195454803,0.057142857142312924,0.05042016757372362,0.5244026644011603
38904,193,277,7,269,186,0.02536231884048782,0.03626943005162555,0.029850745784189024,0.4557527168290196
24412,109,140,5,135,104,0.03571428571403062,0.04587155963260668,0.04016064207770843,0.29869213773760545
22274,69,144,5,139,64,0.0347222222219811,0.07246376811489183,0.04694835636906258,0.3629046487851699
23684,71,117,4,113,67,0.03418803418774198,0.05633802816822059,0.042553191018843375,0.48070422099179627
25141,109,188,15,173,94,0.0797872340421288,0.13761467889782003,0.10101010054479703,0.4992794297871066
33585,75,173,4,169,71,0.023121387283103347,0.05333333333262222,0.03225806409394512,0.49384245393641646
27336,87,113,3,110,84,0.026548672566136737,0.0344827586202933,0.029999999508150004,0.3214467301189293
24547,69,143,8,135,61,0.05594405594366473,0.11594202898382693,0.07547169767341581,0.5512807751631533
17792,55,102,6,96,49,0.058823529411188,0.10909090908892563,0.07643312056294373,0.4657719728056109
21162,71,95,2,93,69,0.02105263157872576,0.028169014084110294,0.02409638505232981,0.28112033747135934
