Candidates,GT_count,Detected_count,TP,FP,FN,Precision,Recall,F1,LocalizationError
29917,128,179,20,152,108,0.11627906976676583,0.1562499999987793,0.13333333284319998,1.0619713406404911
38034,77,214,22,190,55,0.10377358490517088,0.2857142857105751,0.15224913455614755,1.3336114240653922
32518,52,142,10,131,42,0.07092198581509986,0.19230769230399408,0.10362694261043251,1.2136424404736523
31627,15,172,5,167,10,0.029069767441691458,0.3333333333111111,0.0534759356807458,1.3731062835130279
20169,120,88,24,62,96,0.27906976743861545,0.19999999999833332,0.23300970824922235,1.2821139322309776
35898,92,150,26,116,66,0.18309859154800637,0.28260869564910207,0.22222222174315145,1.115558264398842
46998,98,204,28,174,70,0.13861386138545242,0.28571428571137025,0.18666666622551112,1.3575538457828873
14051,36,56,5,50,31,0.09090909090743803,0.13888888888503087,0.10989010940949161,1.433431199223124
55522,122,205,32,164,90,0.163265306121616,0.2622950819650631,0.20125786116103,1.0981294607314123
21680,55,72,5,68,50,0.06849315068399324,0.09090909090743803,0.078124999508667,1.659620950172485
19457,46,75,10,65,36,0.13333333333155556,0.2173913043431002,0.16528925572433575,1.255853253103044
20760,111,102,22,79,89,0.21782178217606116,0.19819819819641263,0.20754716931047526,0.9241429154720083
22397,90,95,12,79,78,0.13186813186668275,0.13333333333185185,0.132596684581423,0.8965250573226687
21555,67,103,15,85,52,0.1499999999985,0.22388059701158386,0.17964071808024668,1.3230303729599617
14121,62,73,19,52,43,0.2676056337990478,0.30645161289828304,0.2857142852122788,1.0297318056076805
45687,140,374,21,351,119,0.05645161290307406,0.14999999999892857,0.08203124960234069,1.3792731191353302
17527,37,66,5,59,32,0.0781249999987793,0.13513513513148284,0.09900990052387021,1.330208214340575
8775,58,37,15,19,43,0.44117647057525955,0.25862068965071344,0.3260869560486768,1.117042851971863
21164,133,144,33,108,100,0.2340425531898295,0.24812030075001415,0.24087591190742716,1.0180565989109531
33355,73,152,17,134,56,0.11258278145620806,0.23287671232557702,0.15178571384498565,1.8155807267757997
33719,79,166,13,145,66,0.08227848101213749,0.16455696202323344,0.10970464090484076,1.266073633715177
24296,94,119,27,88,67,0.2347826086936106,0.2872340425501358,0.2583732052442023,1.1791513604104058
