Candidates,GT_count,Detected_count,TP,FP,FN,Precision,Recall,F1,LocalizationError
29917,128,179,13,166,115,0.07262569832361662,0.10156249999920655,0.08469055325917517,0.9250955709467894
38034,77,214,14,199,63,0.06572769953020785,0.18181818181582055,0.09655172374722949,0.8959254888559961
32518,52,142,5,137,47,0.035211267605385836,0.09615384615199704,0.05154639135965565,1.2927794938718442
31627,15,172,5,167,10,0.029069767441691458,0.3333333333111111,0.0534759356807458,1.3731062835130279
20169,120,88,17,70,103,0.19540229884832871,0.1416666666654861,0.16425120724058903,1.0878873159379232
35898,92,150,18,132,74,0.11999999999920001,0.19565217391091683,0.14876033010600367,0.9855510055450338
46998,98,204,20,183,78,0.0985221674871994,0.20408163265097876,0.13289036500846568,1.1213203232200502
14051,36,56,4,52,32,0.07142857142729592,0.1111111111080247,0.08695652126086958,0.9829054995361645
55522,122,205,26,178,96,0.1274509803915321,0.21311475409661382,0.15950920198464374,0.9577179889482479
21680,55,72,3,69,52,0.04166666666608796,0.054545454544462815,0.047244093996403995,0.8783527858372048
19457,46,75,4,71,42,0.05333333333262222,0.08695652173724008,0.06611570200696675,1.1009252816106643
20760,111,102,14,88,97,0.13725490195943868,0.12612612612498986,0.1314553985606912,0.8972967930798074
22397,90,95,6,86,84,0.06521739130363893,0.06666666666592592,0.06593406543340176,0.6929435446137568
21555,67,103,10,92,57,0.09803921568531333,0.1492537313410559,0.11834319478631701,1.1802725792691728
14121,62,73,13,60,49,0.17808219177838241,0.20967741935145684,0.19259259209305896,0.9188055548266016
45687,140,374,12,362,128,0.032085561497240414,0.08571428571367348,0.04669260660733699,0.775497371840649
17527,37,66,4,60,33,0.062499999999023434,0.10810810810518627,0.07920792032624253,0.8671405484310071
8775,58,37,8,29,50,0.21621621621037254,0.13793103448038052,0.1684210521524654,0.8893963433111036
21164,133,144,29,113,104,0.20422535211123785,0.21804511278031546,0.21090909040809255,0.8649541727858145
33355,73,152,8,144,65,0.05263157894702217,0.10958904109438919,0.07111111067211853,1.153962009064363
33719,79,166,10,152,69,0.061728395061347356,0.12658227847941034,0.08298755142583633,0.8901034024480925
24296,94,119,20,99,74,0.16806722688934397,0.21276595744454505,0.18779342673517158,0.9784082685478961
21130,70,110,11,99,59,0.0999999999990909,0.15714285714061224,0.12222222174555555,0.9001752301427999
15369,111,112,16,95,95,0.14414414414284554,0.14414414414284554,0.14414414364284553,0.9015062684651001
33874,103,200,22,175,81,0.11167512690298642,0.21359223300763502,0.14666666621477775,1.1778987981927418
20614,69,124,14,109,55,0.11382113821045674,0.2028985507216971,0.145833332871365,1.0071548600073623
16929,128,83,12,71,116,0.14457831325127013,0.09374999999926759,0.11374407535104783,1.15702926739562
37861,120,199,21,175,99,0.1071428571423105,0.17499999999854166,0.1329113919331437,0.8179490631153365
22799,62,124,7,117,55,0.05645161290277055,0.1129032258046306,0.07526881675904729,0.8185959308284027
8679,58,36,8,28,50,0.2222222222160494,0.13793103448038052,0.17021276548121322,1.2129649777425382
12029,105,79,15,64,90,0.1898734177191155,0.1428571428557823,0.16304347776908076,0.8748230776155304
19402,193,108,12,96,181,0.1111111111100823,0.062176165802786655,0.07973421880844582,0.7937672728599358
20551,109,92,21,70,88,0.23076923076669484,0.19266055045694805,0.20999999950194997,0.9205458165771999
29887,69,146,12,133,57,0.08275862068908443,0.17391304347574038,0.11214953227229453,0.7941433332748565
14461,71,60,9,50,62,0.15254237287877048,0.1267605633784963,0.13846153796366864,0.7957746704914412
13211,109,86,18,66,91,0.21428571428316326,0.16513761467738405,0.18652849691578297,0.740690339789211
23831,75,114,6,108,69,0.05263157894690674,0.07999999999893333,0.06349206301268162,1.086608119549856
18870,87,81,10,71,77,0.12345679012193263,0.114942528734311,0.11904761854683957,1.0173458252753842
27958,69,125,19,103,50,0.15573770491675623,0.27536231883658896,0.198952879117568,1.1871043103570842
12701,55,57,11,41,44,0.2115384615343935,0.19999999999636364,0.20560747613206395,1.1974367360669882
15888,71,68,12,56,59,0.17647058823269896,0.16901408450466177,0.17266187000134567,1.1697149017875617
9777,41,41,7,34,34,0.170731707312909,0.170731707312909,0.17073170681290897,0.9102381905772597
25574,103,192,15,177,88,0.0781249999995931,0.14563106795975114,0.10169491479905775,0.8557567063292741
25920,128,141,35,102,93,0.25547445255287976,0.2734374999978638,0.2641509428948096,1.011701213449232
5411,27,20,6,14,21,0.299999999985,0.22222222221399177,0.2553191484363966,1.3036736780411042
23121,53,126,7,119,46,0.055555555555114634,0.13207547169562123,0.07821229008507849,0.8711081901592825
30965,52,174,17,155,35,0.09883720930175095,0.32692307691678996,0.15178571392785395,1.0605213093198351
13211,96,86,19,66,77,0.2235294117620761,0.19791666666460503,0.20994475088074233,0.9323586204104292
36956,62,274,12,262,50,0.04379562043779637,0.19354838709365246,0.07142857112719671,0.8984197058962787
27528,89,132,8,124,81,0.060606060605601475,0.08988764044842823,0.07239818956352245,0.7421300052027325
24345,98,138,14,121,84,0.10370370370293554,0.14285714285568513,0.12017167333131944,0.9399347792524265
14384,46,34,5,29,41,0.1470588235250865,0.1086956521715501,0.12499999950812497,0.9597364116880829
20649,95,112,8,103,87,0.07207207207142277,0.08421052631490304,0.0776699024148836,1.0986359135993014
19587,103,128,16,112,87,0.12499999999902345,0.15533980582373455,0.13852813803279548,1.068403582983477
16467,89,96,6,90,83,0.06249999999934896,0.06741573033632117,0.06486486436487948,1.1696232087924896
13115,93,80,18,62,75,0.22499999999718748,0.19354838709469302,0.2080924850495506,0.8712088015788774
22113,66,110,15,94,51,0.13761467889782003,0.22727272726928374,0.17142857095679995,0.927988202523253
22921,103,126,23,95,80,0.1949152542356363,0.22330097087161843,0.2081447958805102,0.8611189526464988
16624,85,85,13,72,72,0.1529411764687889,0.1529411764687889,0.1529411759687889,0.7397742600204975
18549,85,87,16,70,69,0.18604651162574365,0.18823529411543252,0.187134502421805,1.1769363715233552
50114,122,195,23,172,99,0.1179487179481131,0.18852459016238915,0.14511040962023705,0.8078513921547233
38827,53,211,12,197,41,0.057416267942309016,0.22641509433535068,0.09160305311167763,1.234629508242978
21489,112,97,13,84,99,0.13402061855531938,0.11607142857039221,0.12440191337698311,0.9880927073736431
28525,112,174,13,161,99,0.07471264367773155,0.11607142857039221,0.09090909043195267,1.249582062082136
30694,42,186,7,179,35,0.03763440860194821,0.16666666666269842,0.061403508470837184,0.7017208827989841
32284,31,79,14,63,17,0.18181818181582055,0.4516129032112383,0.25925925884516465,0.7779645693294837
13982,79,55,8,47,71,0.14545454545190084,0.10126582278352828,0.11940298458888393,1.3427037518412117
74150,38,226,6,220,32,0.02654867256625421,0.15789473683795016,0.04545454520775941,0.9662611340330568
15453,48,37,6,31,42,0.16216216215777943,0.12499999999739585,0.1411764700932872,0.692878988594975
28028,79,134,14,119,65,0.1052631578939454,0.1772151898711745,0.1320754712293076,0.8730579387982049
44134,91,210,17,192,74,0.0813397129182711,0.1868131868111339,0.11333333290993332,1.2020739003709258
17715,40,87,3,84,37,0.0344827586202933,0.07499999999812501,0.04724409405592412,0.9836458857500857
22061,56,104,6,98,50,0.05769230769175296,0.10714285714094389,0.07499999954406252,0.9449886779140438
22468,127,139,18,121,109,0.12949640287676623,0.14173228346345093,0.13533834536466166,0.8480164135085395
22418,53,173,20,153,33,0.11560693641551673,0.3773584905589178,0.176991150081878,0.8359581737981578
28487,102,136,15,119,87,0.11194029850662732,0.14705882352797,0.1271186435759121,0.9146335582868278
15964,59,96,0,96,59,0.0,0.0,0.0,0.0
14316,101,76,10,66,91,0.13157894736668974,0.09900990098911872,0.11299434979118389,0.7594033375371386
33344,148,208,19,188,129,0.09178743961308315,0.12837837837751095,0.10704225303433446,0.8361808661147004
15142,59,59,8,49,51,0.14035087719052017,0.13559322033668486,0.1379310339805291,0.7111683723920375
26665,100,151,14,136,86,0.09333333333271111,0.1399999999986,0.111999999519104,0.8636340701296158
19874,41,92,7,85,34,0.07608695652091209,0.170731707312909,0.10526315746667421,1.0762346338124826
15168,42,58,7,51,35,0.12068965517033295,0.16666666666269842,0.13999999950999997,0.8671836382461334
15549,76,108,11,96,65,0.10280373831679622,0.14473684210335871,0.12021857874800682,0.7923669837515643
17125,145,118,13,103,132,0.11206896551627527,0.0896551724131748,0.0996168577429574,1.1006240150876248
39150,92,234,7,225,85,0.030172413792973397,0.07608695652091209,0.04320987613629782,0.6548963765361052
16864,136,97,19,79,117,0.19387755101842982,0.13970588235191395,0.16239316190496017,0.9870248630196133
8751,66,48,3,45,63,0.062499999998697923,0.04545454545385675,0.05263157845891044,0.7357092405048653
15339,71,76,8,68,63,0.10526315789335179,0.11267605633644118,0.1088435369140636,1.1588302560256378
27835,142,166,25,138,117,0.15337423312789342,0.1760563380269292,0.16393442573080355,0.8749137268143525
18307,63,78,11,67,52,0.141025641023833,0.17460317460040314,0.15602836829777172,0.7364735050598661
13485,32,55,6,49,26,0.10909090908892563,0.18749999999414066,0.13793103401453297,1.3427390257288518
