Candidates,GT_count,Detected_count,TP,FP,FN,Precision,Recall,F1,LocalizationError
29917,128,179,5,174,123,0.0279329608936987,0.03906249999969483,0.03257328941586649,0.3877092842737001
38034,77,214,5,209,72,0.023364485981199234,0.06493506493422162,0.0343642607789705,0.5788668021549901
32518,52,142,1,141,51,0.007042253521077168,0.01923076923039941,0.010309277958018934,0.5291225613653173
31627,15,172,1,171,14,0.005813953488338291,0.06666666666222222,0.01069518701810175,0.7489682539682576
20169,120,88,8,80,112,0.09090909090805785,0.06666666666611111,0.0769230764341716,0.6177125057271204
35898,92,150,7,143,85,0.04666666666635556,0.07608695652091209,0.0578512391976641,0.5669064632748922
46998,98,204,7,197,91,0.034313725490027876,0.07142857142784256,0.04635761545533091,0.48605885417603717
14051,36,56,2,54,34,0.03571428571364796,0.05555555555401235,0.043478260392249536,0.508314723413054
55522,122,205,11,194,111,0.05365853658510411,0.09016393442549046,0.06727828699357517,0.534886041931289
21680,55,72,2,70,53,0.027777777777391974,0.03636363636297521,0.031496062500589006,0.27163079440559423
19457,46,75,1,74,45,0.013333333333155555,0.02173913043431002,0.016528925148282234,0.6470376327677007
20760,111,102,7,95,104,0.06862745097971934,0.06306306306249493,0.06572769903079195,0.45934007479549405
22397,90,95,3,90,87,0.03225806451578217,0.03333333333296296,0.032786884745677695,0.3969528261512873
21555,67,103,1,102,66,0.00970873786398341,0.01492537313410559,0.011764705404636696,0.2984325275061771
14121,62,73,5,68,57,0.06849315068399324,0.08064516128902185,0.0740740735762963,0.552283883865259
45687,140,374,7,367,133,0.018716577540056907,0.04999999999964286,0.02723735368912475,0.3540274309580619
17527,37,66,0,66,37,0.0,0.0,0.0,0.0
8775,58,37,3,34,55,0.08108108107888971,0.05172413793014269,0.06315789425994461,0.5284732680370076
21164,133,144,14,129,119,0.09790209790141328,0.1052631578939454,0.10144927486224009,0.4543724822391943
33355,73,152,2,150,71,0.013157894736755542,0.027397260273597297,0.01777777733925927,0.5175925623708595
33719,79,166,2,163,77,0.01212121212113866,0.02531645569588207,0.01639344218493014,0.36993124432505375
24296,94,119,6,113,88,0.05042016806680319,0.06382978723336351,0.056338027675373055,0.41945564029341176
21130,70,110,5,105,65,0.04545454545413223,0.07142857142755102,0.055555555079629636,0.5147825109562731
15369,111,112,6,106,105,0.05357142857095026,0.05405405405356708,0.053811658692352556,0.4824283646620849
33874,103,200,6,194,97,0.02999999999985,0.05825242718390046,0.03960395994702045,0.4893144291240537
20614,69,124,5,119,64,0.040322580644836105,0.07246376811489183,0.05181347104265887,0.463073366412026
16929,128,83,2,81,126,0.024096385541878356,0.015624999999877931,0.01895734549412638,0.40579321228603693
37861,120,199,10,189,110,0.05025125628115452,0.08333333333263888,0.0626959242951622,0.4951619426130633
22799,62,124,2,122,60,0.016129032257934443,0.032258064515608746,0.021505375899410345,0.4351025297825012
8679,58,36,2,34,56,0.05555555555401235,0.03448275862009513,0.04255319101584428,0.4961626268804469
12029,105,79,5,74,100,0.06329113923970517,0.047619047618594104,0.05434782559634924,0.5438929999457719
19402,193,108,7,101,186,0.06481481481421468,0.03626943005162555,0.04651162744654034,0.4177391733804952
20551,109,92,8,83,101,0.08791208791112184,0.07339449541217069,0.07999999950325,0.4288232900412221
29887,69,146,8,138,61,0.054794520547569905,0.11594202898382693,0.07441860421460249,0.5763584698739581
14461,71,60,3,57,68,0.04999999999916667,0.04225352112616544,0.04580152622038343,0.6130865705788837
