Candidates,GT_count,Detected_count,TP,FP,FN,Precision,Recall,F1,LocalizationError
33574,128,219,24,188,104,0.11320754716927733,0.18749999999853517,0.1411764701179239,1.077740881931063
41649,77,226,22,201,55,0.09865470851973698,0.2857142857105751,0.1466666662841111,1.4200772831961361
35922,52,151,12,136,40,0.08108108108053325,0.23076923076479292,0.119999999614,1.1175681971121865
34470,15,173,5,168,10,0.02890173410387918,0.3333333333111111,0.0531914892142938,1.2117746837892327
23126,120,112,31,79,89,0.28181818181561985,0.2583333333311805,0.2695652168899055,1.3531643488200817
38768,92,156,26,121,66,0.17687074829811653,0.28260869564910207,0.21757322128198034,1.058152375735679
49970,98,226,25,198,73,0.11210762331788293,0.25510204081372345,0.15576323945023826,1.1463451288324469
15182,36,61,7,54,29,0.11475409835877452,0.19444444443904324,0.1443298964374535,1.44545171015799
60473,122,232,34,190,88,0.15178571428503668,0.27868852458787957,0.19653179144983127,1.308550588342702
23811,55,91,6,83,49,0.06741573033632117,0.10909090908892563,0.08333333286005017,0.9581485397098063
21346,46,82,16,65,30,0.1975308641950922,0.34782608694896033,0.2519685034710149,1.333839721802136
22772,111,120,24,96,87,0.19999999999833332,0.21621621621426831,0.20779220729116768,1.222794801878252
24495,90,93,14,76,76,0.15555555555382716,0.15555555555382716,0.15555555505382715,0.9958857260602967
24446,67,122,14,104,53,0.11864406779560471,0.20895522387747828,0.15135135088771365,1.2636031993193768
15360,62,94,17,75,45,0.18478260869364366,0.2741935483826743,0.22077922029532804,0.9380998590201242
49602,140,430,22,406,118,0.051401869158758405,0.1571428571417347,0.07746478836066753,1.2979822035003339
19369,37,74,6,66,31,0.08333333333217592,0.16216216215777943,0.11009174266879893,1.8061997471176348
9765,58,37,18,18,40,0.49999999998611117,0.31034482758085613,0.3829787229234948,1.2441724360367559
23515,133,163,34,126,99,0.2124999999986719,0.2556390977424388,0.23208191076546028,1.2246627596543487
36205,73,153,18,134,55,0.11842105263079987,0.24657534246237567,0.1599999995602173,1.5371754562345799
37668,79,199,16,176,63,0.08333333333289931,0.20253164556705655,0.11808118039787038,1.412676479135114
26377,94,115,27,86,67,0.23893805309523064,0.2872340425501358,0.26086956471908335,1.261083729234722
23205,70,131,19,105,51,0.1532258064503772,0.27142857142469384,0.19587628819651395,1.0767987314906784
17008,111,129,25,101,86,0.19841269841112372,0.22522522522319616,0.21097046363524366,0.9404514286799018
37262,103,218,28,184,75,0.1320754716974902,0.27184466019153547,0.177777777336518,1.441160034891187
22969,69,149,21,123,48,0.14583333333232062,0.3043478260825457,0.19718309815168947,1.5042986402007652
18767,128,103,21,80,107,0.20792079207714928,0.16406249999871828,0.18340611304246676,1.2653664472618207
40402,120,211,30,174,90,0.1470588235286909,0.24999999999791667,0.18518518471764972,1.1647991836876581
24819,62,137,16,119,46,0.11851851851764061,0.25806451612486997,0.16243654779035793,1.1470714874492756
9738,58,45,11,34,47,0.24444444443901236,0.1896551724105232,0.21359223251352624,0.868896211805327
13940,105,93,20,73,85,0.2150537634385478,0.19047619047437642,0.20202020151999792,0.9890844924215851
21440,193,131,26,104,167,0.19999999999846155,0.13471502590603776,0.1609907115923281,1.0922692486389285
22580,109,96,33,58,76,0.3626373626333776,0.3027522935752041,0.32999999950075,1.4817639186519624
32519,69,170,18,151,51,0.10650887573901474,0.2608695652136106,0.15126050378868017,1.104322974687962
15901,71,61,14,46,57,0.23333333332944445,0.19718309858877206,0.21374045751552936,1.0830681028199973
14316,109,93,22,70,87,0.23913043478000945,0.2018348623834694,0.21890547213821437,0.7767922439667386
26422,75,139,10,129,65,0.0719424460426479,0.13333333333155556,0.09345794346908028,1.5065311154088998
20951,87,76,24,52,63,0.3157894736800554,0.2758620689623464,0.2944785271060258,1.5662673955394757
30081,69,134,20,110,49,0.15384615384497044,0.2898550724595673,0.20100502467058914,1.156313936651436
