Candidates,GT_count,Detected_count,TP,FP,FN,Precision,Recall,F1,LocalizationError
33574,128,219,11,208,117,0.05022831050205375,0.08593749999932862,0.06340057590289762,0.9321035604463574
41649,77,226,19,205,58,0.0848214285710499,0.24675324675004215,0.12624584679449452,1.0320481255335903
35922,52,151,6,143,46,0.04026845637556867,0.11538461538239646,0.05970149215316453,0.7771934969644905
34470,15,173,5,168,10,0.02890173410387918,0.3333333333111111,0.0531914892142938,1.2117746837892327
23126,120,112,17,94,103,0.15315315315177339,0.1416666666654861,0.14718614668563182,0.7688898713532749
38768,92,156,16,140,76,0.10256410256344511,0.17391304347637052,0.12903225759677417,0.9870188695765587
49970,98,226,16,210,82,0.0707964601766779,0.163265306120783,0.09876543167619266,0.9200114949856941
15182,36,61,3,58,33,0.04918032786804623,0.08333333333101853,0.061855669635030294,0.9881572505053852
60473,122,232,24,205,98,0.104803493449324,0.19672131147379737,0.13675213629782226,1.086998773692048
23811,55,91,3,88,52,0.03296703296667069,0.054545454544462815,0.04109588994079565,0.9479797655895902
21346,46,82,9,73,37,0.10975609755963711,0.1956521739087902,0.1406249995373535,0.9352346737033541
22772,111,120,14,106,97,0.11666666666569445,0.12612612612498986,0.12121212071183075,0.8610140976523734
24495,90,93,6,86,84,0.06521739130363893,0.06666666666592592,0.06593406543340176,0.910334592031842
24446,67,122,9,111,58,0.074999999999375,0.13432835820695033,0.09625668403111326,0.8282833882790315
15360,62,94,14,78,48,0.15217391304182418,0.2258064516092612,0.18181818133479505,0.9706190622771143
49602,140,430,12,417,128,0.02797202797196277,0.08571428571367348,0.04217926149175473,0.9664917299141039
19369,37,74,3,69,34,0.04166666666608796,0.08108108107888971,0.05504587111017591,0.7505505037915832
9765,58,37,9,27,49,0.24999999999305558,0.15517241379042807,0.19148936122544136,0.9535537790965726
23515,133,163,23,138,110,0.14285714285625556,0.17293233082576745,0.15646258453748438,0.8200659810822465
36205,73,153,11,141,62,0.07236842105215548,0.15068493150478512,0.09777777733854816,0.8833526278785585
37668,79,199,11,186,68,0.05583756345149321,0.13924050632735138,0.07971014451835225,1.0165527479532883
26377,94,115,16,99,78,0.13913043478139886,0.17021276595563603,0.1531100473504727,0.7733146765464103
23205,70,131,10,121,60,0.07633587786201271,0.14285714285510204,0.09950248710724982,0.912413805295075
17008,111,129,17,112,94,0.13178294573541255,0.15315315315177339,0.1416666661682986,0.705412167069294
37262,103,218,17,200,86,0.07834101382452378,0.16504854368771796,0.10624999956279298,1.0174096592244157
22969,69,149,16,132,53,0.10810810810737766,0.23188405796765385,0.14746543735292741,1.104131797949052
18767,128,103,14,89,114,0.13592233009576773,0.10937499999914552,0.1212121207169281,1.3038098699182914
40402,120,211,17,192,103,0.0813397129182711,0.1416666666654861,0.10334346458155413,0.7237642685970649
24819,62,137,11,126,51,0.08029197080233365,0.1774193548358481,0.11055276338900534,1.0332396948765903
9738,58,45,6,39,52,0.13333333333037037,0.10344827586028538,0.11650485387463475,1.099475584532
13940,105,93,16,77,89,0.17204301075083825,0.15238095237950114,0.16161616111636568,0.9710738639145262
21440,193,131,15,115,178,0.11538461538372782,0.07772020725348332,0.09287925648439074,0.8018429463798977
22580,109,96,20,76,89,0.2083333333311632,0.18348623853042673,0.1951219507196193,1.079798323204225
32519,69,170,13,157,56,0.07647058823484429,0.18840579709871874,0.10878661046704362,0.9925510067914869
15901,71,61,9,52,62,0.14754098360413867,0.1267605633784963,0.13636363586443984,0.7306423642019942
14316,109,93,19,74,90,0.20430107526662042,0.17431192660390538,0.18811881138246245,0.7199380242859346
26422,75,139,6,133,69,0.04316546762558874,0.07999999999893333,0.05607476589933619,1.3403201443069868
20951,87,76,16,59,71,0.21333333333048887,0.1839080459748976,0.19753086369783565,0.9333151538769662
30081,69,134,15,117,54,0.11363636363550277,0.2173913043446755,0.14925373089091853,0.9789496731624061
14527,55,54,14,39,41,0.26415094339124245,0.25454545454082644,0.25925925875462963,0.9800866371434681
16997,71,75,10,61,61,0.14084507042055147,0.14084507042055147,0.14084506992055146,0.8530071558883645
10691,41,50,7,41,34,0.14583333333029516,0.170731707312909,0.15730337028607502,0.9165792281002848
27576,103,203,13,190,90,0.06403940886667961,0.12621359223178433,0.08496731981428084,0.6991061805888349
28254,128,144,32,110,96,0.22535211267446936,0.2499999999980469,0.23703703653662553,0.7757932861460222
5842,27,19,6,13,21,0.31578947366759,0.22222222221399177,0.260869564721172,1.2085678875121357
25176,53,141,8,133,45,0.05673758865207988,0.15094339622356712,0.08247422640615368,0.7859310013593466
33802,52,214,13,200,39,0.06103286384947872,0.24999999999519232,0.09811320723098611,1.0120890797399957
14316,96,93,17,76,79,0.18279569892276562,0.1770833333314887,0.17989417939240218,0.8916438958766799
40722,62,286,10,276,52,0.03496503496491271,0.1612903225780437,0.05747126407464659,0.6645191390322116
29663,89,142,8,134,81,0.05633802816861734,0.08988764044842823,0.06926406878979031,0.7442544196653023
26766,98,157,19,136,79,0.12258064516049949,0.19387755101842982,0.15019762798268993,1.0005039949459589
15516,46,36,8,28,38,0.2222222222160494,0.17391304347448017,0.19512195072218916,0.8947278851450855
22665,95,119,7,112,88,0.05882352941127039,0.07368421052554017,0.0654205602533409,1.146552738889552
22120,103,134,19,114,84,0.14285714285606876,0.1844660194156848,0.1610169486592574,1.0593102894559694
18519,89,124,10,114,79,0.08064516128967221,0.11235955056053529,0.09389671312764222,1.1454337193566602
14653,93,89,21,67,72,0.23863636363365184,0.2258064516104752,0.23204419839284512,0.7492785332686346
23761,66,119,12,106,54,0.10169491525337547,0.181818181815427,0.13043478214721171,0.5053257322169911
24759,103,129,25,103,78,0.19531249999847414,0.24271844659958525,0.21645021595419872,0.9709541071778619
18404,85,95,14,81,71,0.14736842105108033,0.16470588235100345,0.15555555505537036,0.8928219062475472
20471,85,100,16,84,69,0.1599999999984,0.18823529411543252,0.17297297247439006,1.2847912940183166
54310,122,207,23,182,99,0.11219512195067223,0.18852459016238915,0.1406727824059703,0.819218557148991
42062,53,237,10,226,43,0.04237288135575266,0.1886792452794589,0.06920415194913854,1.087811771340879
23463,112,101,16,84,96,0.1599999999984,0.14285714285586734,0.15094339572659307,1.0827538669168288
31136,112,194,12,182,100,0.061855670102773944,0.10714285714190051,0.07843137208441199,0.9569945367744571
33650,42,199,6,193,36,0.030150753768692713,0.14285714285374151,0.04979253083211378,0.763180989784737
34432,31,90,9,79,22,0.10227272727156508,0.290322580635796,0.15126050381385497,0.8605751317506031
15047,79,60,7,53,72,0.11666666666472222,0.08860759493558724,0.10071942396832462,1.2114739463743533
78220,38,231,6,225,32,0.025974025973913534,0.15789473683795016,0.04460966518456075,0.7735614154382295
17252,48,44,5,39,43,0.113636363633781,0.10416666666449653,0.10869565167249529,0.6724954165604604
31415,79,147,12,133,67,0.08275862068908443,0.15189873417529243,0.10714285668530774,0.8559923756417835
48344,91,246,14,232,77,0.05691056910545972,0.15384615384446323,0.08308605301774252,1.0409069517914682
19657,40,97,4,92,36,0.04166666666623264,0.0999999999975,0.05882352899567474,1.2023312374917698
23309,56,121,5,116,51,0.041322314049245266,0.08928571428411991,0.05649717470803409,0.9227083452237389
24958,127,152,16,135,111,0.10596026489996054,0.12598425196751192,0.11510791317196314,0.5893956141860192
24745,53,193,20,173,33,0.10362694300464442,0.3773584905589178,0.16260162567687883,0.9669057014567976
31410,102,141,11,129,91,0.07857142857086735,0.10784313725384467,0.090909090420668,0.7606070190213614
18012,59,104,0,104,59,0.0,0.0,0.0,0.0
16078,101,84,12,72,89,0.14285714285544218,0.11881188118694246,0.1297297292325493,1.0420297171299175
36681,148,227,21,204,127,0.09333333333291852,0.14189189189093318,0.1126005357137333,0.740432023762244
16880,59,57,8,49,51,0.14035087719052017,0.13559322033668486,0.1379310339805291,0.6832485094514356
30402,100,175,13,162,87,0.0742857142852898,0.1299999999987,0.09454545408195703,0.698527736218598
21799,41,109,8,100,33,0.0740740740733882,0.19512195121475315,0.10738254993522814,0.9745560589861753
16491,42,67,6,60,36,0.0909090909077135,0.14285714285374151,0.11111111063374488,0.5776714223031161
17127,76,115,11,103,65,0.09649122806932903,0.14473684210335871,0.1157894732029917,0.8009830427248829
19109,145,121,12,109,133,0.09917355371818865,0.08275862068908443,0.09022556341316637,1.3081396582797653
42707,92,250,10,240,82,0.039999999999840004,0.10869565217273157,0.05847953177011731,0.8581500414334858
18903,136,110,21,90,115,0.18918918918748479,0.154411764704747,0.17004048533370486,0.8931878815645147
9767,66,51,3,47,63,0.059999999998800006,0.04545454545385675,0.05172413743965518,1.6191547518884921
17052,71,86,9,76,62,0.10588235293993079,0.1267605633784963,0.11538461488716303,1.1981015415428926
30896,142,172,23,147,119,0.13529411764626298,0.16197183098477486,0.1474358969389793,0.7884993507200477
19629,63,78,9,69,54,0.11538461538313609,0.1428571428548753,0.127659573971933,0.9203488398145071
14989,32,61,8,53,24,0.13114754098145662,0.24999999999218753,0.1720430102976067,1.5604402755251554
8972,45,47,5,42,40,0.10638297872114079,0.11111111110864198,0.10869565167178641,0.681775220292538
10615,55,36,11,25,44,0.3055555555470679,0.19999999999636364,0.24175824127472528,0.5696398751754984
8994,24,29,7,22,17,0.24137931033650417,0.2916666666545139,0.26415094289070845,0.7769309718829397
11137,62,33,8,25,54,0.24242424241689625,0.12903225806243498,0.16842105217462605,0.885043588187998
42082,51,171,8,163,43,0.04678362573072057,0.15686274509496348,0.07207207171751483,0.6245573677892984
41995,132,249,20,228,112,0.08064516128999741,0.1515151515140037,0.10526315744077563,0.8939581273527809
18228,24,38,6,32,18,0.15789473683795016,0.24999999998958333,0.19354838661602494,0.8040441961973571
9738,40,35,8,26,32,0.23529411764013844,0.199999999995,0.21621621571365962,1.132178928168703
