Candidates,GT_count,Detected_count,TP,FP,FN,Precision,Recall,F1,LocalizationError
33574,128,219,5,214,123,0.02283105022820625,0.03906249999969483,0.028818443338255454,0.4825261036617964
41649,77,226,7,219,70,0.030973451327296578,0.09090909090791027,0.046204620082649854,0.5310004745526993
35922,52,151,1,150,51,0.0066225165562475334,0.01923076923039941,0.00985221636758962,0.4742922318155435
34470,15,173,1,172,14,0.005780346820775837,0.06666666666222222,0.010638297725384792,0.5397147207421853
23126,120,112,10,102,110,0.08928571428491709,0.08333333333263888,0.0862068960515755,0.4742743854976559
38768,92,156,7,149,85,0.044871794871507234,0.07608695652091209,0.0564516124360692,0.49170925092013473
49970,98,226,6,220,92,0.02654867256625421,0.06122448979529362,0.0370370366148453,0.4051807125330462
15182,36,61,1,60,35,0.016393442622682077,0.027777777777006175,0.020618556233818697,0.7855439567651867
60473,122,232,8,224,114,0.034482758620541024,0.06557377049126578,0.04519773966101695,0.5373812254667546
23811,55,91,2,89,53,0.02197802197778046,0.03636363636297521,0.027397259803997008,0.36970995031030485
21346,46,82,4,78,42,0.048780487804283165,0.08695652173724008,0.062499999538574234,0.6949349972760978
22772,111,120,5,115,106,0.04166666666631944,0.045045045044639236,0.04329004279042747,0.5409987755856251
24495,90,93,1,92,89,0.01075268817192739,0.011111111110987655,0.010928961248648833,0.38487701755490294
24446,67,122,3,119,64,0.02459016393422467,0.04477611940231677,0.03174603128803786,0.5163068761995366
15360,62,94,4,90,58,0.04255319148890901,0.06451612903121749,0.05128205080243262,0.44337332271733376
49602,140,430,5,425,135,0.011627906976717145,0.03571428571403062,0.017543859278485695,0.37875963429818416
19369,37,74,0,74,37,0.0,0.0,0.0,0.0
9765,58,37,3,33,55,0.08333333333101853,0.05172413793014269,0.06382978676007245,0.43312591353920543
23515,133,163,12,151,121,0.07361963190138884,0.09022556390909606,0.0810810805856693,0.5039896915339588
36205,73,153,4,149,69,0.02614379084950233,0.054794520547194595,0.03539822965083406,0.3555852019751311
37668,79,199,5,193,74,0.025252525252397715,0.06329113923970517,0.036101082624509645,0.6014207108301829
26377,94,115,9,106,85,0.07826086956453686,0.09574468085004527,0.0861244014180994,0.4870996289019202
23205,70,131,3,128,67,0.022900763358603814,0.04285714285653061,0.02985074581441054,0.3400481057663671
17008,111,129,11,118,100,0.08527131782879635,0.09909909909820631,0.09166666616871527,0.5083292995778481
37262,103,218,7,211,96,0.032110091742971976,0.06796116504788387,0.043613706729010784,0.40566237902317787
22969,69,149,6,143,63,0.04026845637556867,0.08695652173787019,0.05504587112646242,0.37699716751931783
18767,128,103,2,101,126,0.01941747572796682,0.015624999999877931,0.017316016821723745,0.5421020979871805
40402,120,211,7,204,113,0.03317535545007974,0.05833333333284722,0.04229607204508905,0.5540204826223516
24819,62,137,3,134,59,0.021897810218818266,0.048387096773413116,0.030150753339562138,0.6048387760774356
9738,58,45,3,42,55,0.06666666666518518,0.05172413793014269,0.05825242669129985,0.6917672031436947
13940,105,93,6,87,99,0.06451612903156434,0.057142857142312924,0.06060606010728497,0.4364924961131485
21440,193,131,10,120,183,0.07692307692248522,0.05181347150232221,0.06191950416260102,0.4294525228069316
22580,109,96,7,89,102,0.07291666666590711,0.06422018348564935,0.0682926824281737,0.48495895636651226
32519,69,170,7,163,62,0.041176470587993085,0.10144927536084855,0.05857740544654331,0.6075774360266076
15901,71,61,6,55,65,0.09836065573609246,0.08450704225233088,0.09090909041058311,0.4830187705723588
14316,109,93,10,83,99,0.1075268817192739,0.09174311926521336,0.09900990049225565,0.3962275399512177
26422,75,139,1,138,74,0.00719424460426479,0.013333333333155555,0.009345793937156106,0.5534630848316449
20951,87,76,4,72,83,0.052631578946675896,0.0459770114937244,0.04907975410290188,0.4081775880597859
30081,69,134,4,130,65,0.029850746268433953,0.05797101449191346,0.03940886654594871,0.4533331433173335
14527,55,54,3,51,52,0.05555555555452675,0.054545454544462815,0.055045871058665104,0.3900394051284646
