st_lp,st_tc,st_ic,bm_lp,bm_tc,bm_ic,st_th_cg,st_it_cg,bm_th_cg,bm_it_cg,st_th_GA+KL_cl,st_th_GA+KL_el,st_th_MWS_cl,st_th_MWS_el,st_it_GA+KL_cl,st_it_GA+KL_el,st_it_MWS_cl,st_it_MWS_el,bm_th_GA+KL_cl,bm_th_GA+KL_el,bm_th_MWS_cl,bm_th_MWS_el,bm_it_GA+KL_cl,bm_it_GA+KL_el,bm_it_MWS_cl,bm_it_MWS_el,bm_it_GA_cl,bm_it_GA_el,bm_it_KL_cl,bm_it_KL_el,bm_it_MWS+KL_cl,bm_it_MWS+KL_el
0.016,0.585,26.854,0.069,4.031,70.727,25.408,19.871,19.812,13.458,0,0,2.363,0.019,0,0,1.908,0.011,0,0,1.822,0.011,0,0,1.355,0.011,0,0,0,0,0,0
0.006,0.498,40.58,0.064,4.062,66.957,52.005,39.633,22.28,13.997,0,0,3.36,0.017,0,0,2.636,0.014,0,0,1.604,0.01,0,0,1.047,0.009,0,0,0,0,0,0
0.006,0.483,22.967,0.065,4.047,68.756,39.123,29.172,26.584,19.523,0,0,3.088,0.012,0,0,2.457,0.012,0,0,2.207,0.012,0,0,1.702,0.013,0,0,0,0,0,0
0.006,0.525,31.742,0.07,4.432,46.959,20.726,16.303,4.487,4.554,0,0,2.535,0.012,0,0,2.118,0.012,0,0,0.546,0.006,0,0,0.547,0.008,0,0,0,0,0,0
0.006,0.501,12.433,0.067,3.983,38.143,12.902,8.914,12.937,7.565,0,0,1.333,0.011,0,0,1.034,0.007,0,0,1.059,0.008,0,0,0.844,0.008,0,0,0,0,0,0
0.006,0.49,22.766,0.066,4.015,50.873,52.133,42.064,30.366,20.242,0,0,3.391,0.016,0,0,3.644,0.013,0,0,2.431,0.012,0,0,2.165,0.012,0,0,0,0,0,0
0.006,0.49,37.803,0.065,3.993,74.085,71.333,60.647,33.439,22.112,0,0,5.359,0.019,0,0,4.724,0.017,0,0,2.607,0.012,0,0,1.761,0.012,0,0,0,0,0,0
0.006,0.474,7.272,0.064,3.942,21.648,3.86,3.255,5.467,3.38,0,0,0.626,0.005,0,0,0.554,0.005,0,0,1.004,0.005,0,0,0.551,0.005,0,0,0,0,0,0
0.006,0.492,32.667,0.066,4.014,65.686,116.919,94.798,34.645,26.621,0,0,6.65,0.024,0,0,5.376,0.021,0,0,2.734,0.013,0,0,2.21,0.014,0,0,0,0,0,0
0.005,0.417,12.615,0.068,3.523,24.194,28.45,22.02,12.187,7.163,0,0,1.901,0.011,0,0,1.512,0.007,0,0,1.304,0.006,0,0,0.671,0.006,0,0,0,0,0,0
0.01,0.509,13.49,0.066,4.462,35.524,20.725,15.795,12.863,8.271,0,0,1.409,0.01,0,0,1.212,0.006,0,0,1.126,0.007,0,0,0.753,0.006,0,0,0,0,0,0
0.006,0.509,16.637,0.065,4.471,51.009,13.23,10.285,14.555,9.786,0,0,1.236,0.011,0,0,1.057,0.007,0,0,1.116,0.008,0,0,0.799,0.008,0,0,0,0,0,0
0.006,0.57,13.62,0.065,5.285,48.135,15.62,13.163,9.968,7.313,0,0,2.6,0.008,0,0,1.776,0.008,0,0,0.871,0.008,0,0,0.674,0.008,0,0,0,0,0,0
0.006,0.539,17.588,0.068,4.83,60.96,10.307,7.612,18.07,10.879,0,0,1.198,0.008,0,0,1.037,0.008,0,0,2.087,0.01,0,0,1.222,0.011,0,0,0,0,0,0
0.006,0.498,13.318,0.065,4.373,43.237,5.637,4.502,6.18,4.147,0,0,0.547,0.008,0,0,0.572,0.005,0,0,0.723,0.006,0,0,0.472,0.007,0,0,0,0,0,0
0.009,0.531,57.688,0.064,4.486,92.651,77.713,61.43,21.491,14.679,0,0,4.466,0.02,0,0,3.673,0.017,0,0,1.664,0.011,0,0,0.965,0.011,0,0,0,0,0,0
0.006,0.546,10.329,0.065,4.943,62.394,9.817,7.487,24.31,17.538,0,0,1.309,0.009,0,0,1.001,0.006,0,0,2.25,0.011,0,0,2.27,0.011,0,0,0,0,0,0
0.006,0.511,5.354,0.064,4.371,23.656,2.545,1.976,3.749,2.313,0,0,0.451,0.006,0,0,0.396,0.003,0,0,0.604,0.004,0,0,0.324,0.004,0,0,0,0,0,0
0.006,0.483,23.262,0.067,4.009,75.428,14.254,10.309,20.143,13.063,0,0,0.956,0.01,0,0,0.877,0.008,0,0,1.044,0.01,0,0,0.699,0.01,0,0,0,0,0,0
