name,Candidates,GT_count,Detected_count,TP,FP,FN,Precision,Recall,F1,LocalizationError
BM-IT STR,24256,80.2,152.4,4.3,147.9,76.0,3.2,5.6,3.9,0.4
ST-IT STR,23236,80.2,117.2,4.8,112.3,75.5,4.9,6.1,5.1,0.5
BM-TH STR,28064,80.2,169.5,5.4,164.1,74.8,3.5,6.9,4.5,0.5
ST-TH STR,25471,80.2,129.3,5.2,124.1,75.1,4.8,6.4,5.2,0.5
BM-IT MOD,24256,80.2,152.4,13.0,138.3,67.2,9.3,17.2,11.6,1.1
ST-IT MOD,23236,80.2,117.2,12.2,104.2,68.0,12.4,15.9,13.1,0.9
BM-TH MOD,28064,80.2,169.5,14.0,154.8,66.2,8.9,17.8,11.5,1.0
ST-TH MOD,25471,80.2,129.3,12.1,116.6,68.2,11.4,15.7,12.4,0.9
BM-IT LOO,24256,80.2,152.4,20.0,129.0,60.3,14.5,25.9,17.9,1.4
ST-IT LOO,23236,80.2,117.2,17.7,97.3,62.6,18.0,22.6,18.9,1.2
BM-TH LOO,28064,80.2,169.5,21.5,144.7,58.8,14.0,27.4,17.9,1.3
ST-TH LOO,25471,80.2,129.3,18.7,108.2,61.6,17.6,23.9,19.1,1.2
