Candidates,GT_count,Detected_count,TP,FP,FN,Precision,Recall,F1,LocalizationError
63730,786,465,63,400,723,0.13606911447054845,0.08015267175562321,0.10088070409692813,1.9658045353335283
47403,460,308,28,278,432,0.09150326797355718,0.06086956521725898,0.07310704912837364,2.0864118935330223
50166,491,287,39,247,452,0.13636363636315957,0.07942973523405411,0.10038609992064652,1.4367520551820847
50239,481,385,21,364,460,0.05454545454531287,0.043659043658952894,0.04849884477162127,1.7030097714879648
48995,495,394,21,372,474,0.053435114503680825,0.04242424242415672,0.047297296803787754,1.4720872346967206
55330,546,419,39,373,507,0.09466019417452752,0.07142857142844061,0.08141962372673149,1.4420484065920587
19668,231,140,25,114,206,0.17985611510661975,0.10822510822463972,0.13513513466531776,1.266560205426102
15150,148,84,21,63,127,0.2499999999970238,0.14189189189093318,0.18103448229511,0.7806708205648621
17577,223,113,24,88,199,0.21428571428380103,0.10762331838516762,0.143283581643591,1.3062772879974736
21695,213,108,23,84,190,0.21495327102602846,0.10798122065677004,0.14374999955396484,0.9464351346000661
