Candidates,GT_count,Detected_count,TP,FP,FN,Precision,Recall,F1,LocalizationError
63730,786,456,105,344,681,0.23385300668099365,0.13358778625937204,0.17004048536691438,2.845000974227939
47403,460,310,62,250,398,0.1987179487173118,0.13478260869535919,0.16062176117599128,2.8637939614924095
50166,491,284,68,213,423,0.2419928825614164,0.13849287169014565,0.17616580264534956,2.6063879339594735
50239,481,384,34,348,447,0.08900523560186124,0.07068607068592372,0.07879490101277041,2.679522333814363
48995,495,403,55,348,440,0.1364764267986688,0.11111111111088665,0.12249443157624466,2.890213931696123
55330,546,414,63,352,483,0.15180722891529685,0.11538461538440406,0.1311134230261878,2.465605487564664
19668,231,142,35,107,196,0.24647887323770087,0.1515151515144956,0.18766755984917594,2.3417230091622434
15150,148,84,27,57,121,0.3214285714247449,0.1824324324311998,0.23275862022569863,1.7244734038110106
17577,223,110,32,77,191,0.29357798164868276,0.14349775784689014,0.1927710838951408,1.7354458457103057
21695,213,109,30,77,183,0.2803738317730806,0.14084507042187397,0.1874999995536914,1.7424777351242335
