Candidates,GT_count,Detected_count,TP,FP,FN,Precision,Recall,F1,LocalizationError
63730,786,465,35,430,751,0.07526881720413921,0.04452926208645734,0.0559552353441819,1.3112447454353287
47403,460,308,13,295,447,0.04220779220765517,0.028260869565155954,0.03385416618616402,1.0024209960333825
50166,491,287,25,262,466,0.08710801393697871,0.050916496944906485,0.06426735171930202,0.8655258480155028
50239,481,385,13,372,468,0.03376623376614606,0.027027027026970837,0.03002309419429674,1.18803307651994
48995,495,394,14,380,481,0.035532994923767686,0.028282828282771146,0.031496062498508844,0.6443759083091452
55330,546,419,27,392,519,0.06443914081130206,0.04945054945045888,0.05595854873134206,1.026491123285463
19668,231,140,19,121,212,0.13571428571331634,0.08225108225072619,0.1024258755403114,0.9349741786825013
15150,148,84,18,66,130,0.21428571428316326,0.12162162162079987,0.15517241332981568,0.7756463459216543
17577,223,113,18,95,205,0.1592920353968204,0.0807174887888757,0.10714285669580853,0.632445033849676
21695,213,108,22,85,191,0.20560747663359244,0.10328638497604091,0.13749999955400388,0.8680976726774339
