Candidates,GT_count,Detected_count,TP,FP,FN,Precision,Recall,F1,LocalizationError
63730,786,456,37,419,749,0.08114035087701504,0.04707379134854062,0.0595813199860881,1.3407576240532015
47403,460,310,15,295,445,0.048387096774037464,0.032608695652103024,0.038961038479912294,0.957344223805728
50166,491,284,27,257,464,0.09507042253487652,0.054989816700499,0.06967741889032923,0.8371406174715311
50239,481,384,15,369,466,0.039062499999898276,0.031185031184966353,0.034682080431062856,1.2023091123587124
48995,495,403,14,389,481,0.034739454094206604,0.028282828282771146,0.03118040039604715,0.8225340335124622
55330,546,414,26,388,520,0.06280193236699806,0.04761904761896041,0.05416666617600695,0.9802920583607476
19668,231,142,19,123,212,0.1338028169004662,0.08225108225072619,0.1018766751311373,0.9349741786825013
15150,148,84,18,66,130,0.21428571428316326,0.12162162162079987,0.15517241332981568,0.7756463459216543
17577,223,110,20,90,203,0.18181818181652892,0.08968609865430635,0.12012011967697425,0.625804154912247
21695,213,109,23,85,190,0.21296296296099107,0.10798122065677004,0.1433021802379635,0.893379782055311
