Candidates,GT_count,Detected_count,TP,FP,FN,Precision,Recall,F1,LocalizationError
63730,786,465,8,457,778,0.01720430107523182,0.010178117048333107,0.012789767718351636,0.5423700045857616
47403,460,308,5,303,455,0.016233766233713528,0.010869565217367675,0.013020832852884948,0.4122415817829722
50166,491,287,16,271,475,0.05574912891966638,0.03258655804474015,0.04113110493272911,0.403542051804252
50239,481,385,3,382,478,0.007792207792187553,0.00623700623699327,0.006928405972641097,0.6293858848345205
48995,495,394,10,384,485,0.02538071065983406,0.02020202020197939,0.022497187357921663,0.38217535433561955
55330,546,419,11,408,535,0.02625298329349343,0.02014652014648325,0.02279792696975276,0.40114377237347315
19668,231,140,7,133,224,0.04999999999964286,0.030303030302899124,0.037735848586482226,0.39970163878814274
15150,148,84,14,70,134,0.16666666666468252,0.09459459459395544,0.12068965470942329,0.555554360269561
17577,223,113,13,100,210,0.11504424778659253,0.058295964125299124,0.07738095193408093,0.3651380690224425
21695,213,108,13,95,200,0.12037037036925582,0.06103286384947872,0.08099688428819596,0.4134628298668766
