Candidates,GT_count,Detected_count,TP,FP,FN,Precision,Recall,F1,LocalizationError
63730,786,456,8,448,778,0.017543859649084333,0.010178117048333107,0.012882447200334006,0.5249065177034339
47403,460,310,5,305,455,0.016129032258012488,0.010869565217367675,0.012987012505953804,0.4120849675481574
50166,491,284,17,267,474,0.05985915492936669,0.03462321792253641,0.043870967277492616,0.39342753993741647
50239,481,384,3,381,478,0.007812499999979655,0.00623700623699327,0.006936415691242643,0.6293858848345205
48995,495,403,9,394,486,0.02233250620341853,0.01818181818178145,0.020044542935047458,0.41532582160547743
55330,546,414,11,403,535,0.026570048309114566,0.02014652014648325,0.022916666176072062,0.40114377237347315
19668,231,142,7,135,224,0.049295774647540175,0.030303030302899124,0.03753351159260831,0.39970163878814274
15150,148,84,14,70,134,0.16666666666468252,0.09459459459395544,0.12068965470942329,0.555554360269561
17577,223,110,14,96,209,0.12727272727157024,0.06278026905801444,0.08408408364115467,0.3664813702328478
21695,213,109,13,96,200,0.11926605504477737,0.06103286384947872,0.08074534116656379,0.4134628298668766
