Candidates,GT_count,Detected_count,TP,FP,FN,Precision,Recall,F1,LocalizationError
81031,786,539,62,474,724,0.11567164179082898,0.07888040712458158,0.09379727637099157,1.7005263850796912
58946,460,349,20,328,440,0.057471264367650945,0.0434782608694707,0.04950495000453388,1.5702605762758661
66632,491,334,44,286,447,0.1333333333329293,0.08961303462303541,0.10718635761884515,1.344444576420199
62790,481,438,26,411,455,0.05949656750558468,0.054054054053941675,0.056644879675317186,2.0163578568252327
62301,495,471,24,447,471,0.05095541401263067,0.048484848484750535,0.04968944049399458,1.374000360616525
68650,546,458,38,416,508,0.08370044052845,0.06959706959694213,0.07599999950408001,1.6349443683672586
24812,231,171,22,149,209,0.12865497075948157,0.09523809523768295,0.10945273582900178,0.7637158126337419
19867,148,94,23,71,125,0.24468085106122678,0.15540540540435538,0.19008264415142406,0.7831638326052035
22468,223,120,25,90,198,0.21739130434593573,0.11210762331788293,0.14792899363301354,1.2528413216862366
27842,213,128,34,91,179,0.271999999997824,0.1596244131447905,0.2011834314853647,1.1266911403048778
