Candidates,GT_count,Detected_count,TP,FP,FN,Precision,Recall,F1,LocalizationError
81031,786,558,120,427,666,0.21937842778753314,0.1526717557249966,0.1800450107686164,2.8071984935026264
58946,460,346,47,296,413,0.1370262390666559,0.10217391304325614,0.11706102068093344,2.7285290501182566
66632,491,341,70,264,421,0.2095808383227258,0.14256619144573815,0.1696969692146659,2.5486509544391343
62790,481,458,38,418,443,0.08333333333315059,0.07900207900191476,0.08110992479367267,2.4650655104146546
62301,495,474,60,413,435,0.12684989429148658,0.12121212121187634,0.12396694164876246,2.6311099245167626
68650,546,463,56,403,490,0.12200435729820915,0.10256410256391472,0.11144278557317691,2.918025975105457
24812,231,170,38,132,193,0.22352941176339103,0.16450216450145239,0.18952618404927832,2.2955429575300226
19867,148,94,32,62,116,0.34042553191127206,0.2162162162147553,0.2644628094400656,1.633414234747093
22468,223,121,37,78,186,0.3217391304319849,0.16591928251046673,0.2189349107923567,2.4331440832807285
27842,213,127,40,86,173,0.3174603174577979,0.1877934272291653,0.23598820012150962,2.0094948786301208
