Candidates,GT_count,Detected_count,TP,FP,FN,Precision,Recall,F1,LocalizationError
81031,786,558,43,515,743,0.07706093189950347,0.05470737913479045,0.06398809475238937,1.0664715830253724
58946,460,346,14,332,446,0.0404624277455478,0.03043478260862949,0.03473945360420914,0.9178457668552805
66632,491,341,28,313,463,0.08211143694990583,0.057026476578295265,0.06730769182378248,0.7885695475786498
62790,481,458,15,443,466,0.03275109170298526,0.031185031184966353,0.031948881289369326,0.8735569554496886
62301,495,474,17,457,478,0.035864978902877924,0.03434343434336496,0.03508771879840803,0.7283375909409022
68650,546,463,26,437,520,0.05615550755927396,0.04761904761896041,0.05153617393341003,1.0733792281900476
24812,231,170,23,147,208,0.13529411764626298,0.09956709956666855,0.11471321646860407,0.7403405944481378
19867,148,94,21,73,127,0.2234042553167723,0.14189189189093318,0.173553718531726,0.7276745745130727
22468,223,121,15,106,208,0.1239669421477358,0.06726457399072976,0.08720930186903394,0.5287034636968442
27842,213,127,29,96,184,0.231999999998144,0.13615023474114485,0.17159763266897166,0.9501112889073874
