Candidates,GT_count,Detected_count,TP,FP,FN,Precision,Recall,F1,LocalizationError
81031,786,539,12,527,774,0.022263450834838102,0.01526717557249966,0.01811320706451778,0.5060019152106777
58946,460,349,5,344,455,0.014326647564428864,0.010869565217367675,0.01236093894077905,0.4163168656334492
66632,491,334,15,319,476,0.0449101796405841,0.03054989816694389,0.03636363588165584,0.33757921938592017
62790,481,438,9,429,472,0.02054794520543254,0.018711018710979813,0.01958650657395737,0.51715962317417
62301,495,471,9,462,486,0.0191082802547365,0.01818181818178145,0.01863353987294087,0.41187377358168725
68650,546,458,9,449,537,0.019650655021791155,0.016483516483486293,0.017928286356395148,0.37167142634088607
24812,231,171,14,157,217,0.08187134502876099,0.06060606060579825,0.06965174080432415,0.41435442000513417
19867,148,94,15,79,133,0.15957446808340878,0.10135135135066656,0.12396694167263166,0.5072250884216849
22468,223,120,13,107,210,0.10833333333243056,0.058295964125299124,0.07580174881578254,0.35804507167200544
27842,213,128,14,114,199,0.10937499999914552,0.06572769953020785,0.08211143648073202,0.40965579968029264
