Candidates,GT_count,Detected_count,TP,FP,FN,Precision,Recall,F1,LocalizationError
81031,786,558,15,543,771,0.02688172043005935,0.019083969465624576,0.022321428085784717,0.4412004896495389
58946,460,346,6,340,454,0.017341040462377628,0.01304347826084121,0.014888336978948228,0.47283764217638896
66632,491,341,16,325,475,0.0469208211142319,0.03258655804474015,0.03846153797769798,0.3605173722653596
62790,481,458,8,450,473,0.017467248908258806,0.016632016631982053,0.017039403121136977,0.4699830374565144
62301,495,474,11,463,484,0.02320675105480336,0.02222222222217733,0.02270381786964103,0.41863991959655783
68650,546,463,8,455,538,0.017278617710545834,0.014652014651987818,0.015857283943391556,0.4224207183450696
24812,231,170,15,155,216,0.08823529411712804,0.06493506493478383,0.07481296709224446,0.39174751755015064
19867,148,94,15,79,133,0.15957446808340878,0.10135135135066656,0.12396694167263166,0.5072250884216849
22468,223,121,12,109,211,0.09917355371818865,0.05381165919258381,0.06976744140401908,0.3435638736629912
27842,213,127,14,113,199,0.11023622047157294,0.06572769953020785,0.08235294070797577,0.40965579968029264
