Candidates,GT_count,Detected_count,TP,FP,FN,Precision,Recall,F1,LocalizationError
81051,786,393,68,319,718,0.17571059431479144,0.08651399491083141,0.11594202854316173,1.9557571784758974
24964,460,123,30,90,430,0.24999999999791667,0.06521739130420605,0.10344827553353149,1.0893726469923146
19734,491,140,60,81,431,0.4255319148905991,0.12219959266777557,0.18987341737426397,1.4122987253134531
32176,481,157,23,134,458,0.1464968152856911,0.047817047816948406,0.07210031310834701,1.4508788051989139
19689,495,120,32,87,463,0.2689075630229503,0.06464646464633404,0.10423452737446019,1.313052503872364
31475,546,147,35,110,511,0.24137931034316293,0.0641025641024467,0.10130245987069643,1.4294549437381567
10126,231,76,17,58,214,0.22666666666364443,0.073593073592755,0.1111111107403349,1.4632756803577034
7774,148,37,18,19,130,0.48648648647333825,0.12162162162079987,0.19459459427249087,0.7314915007718229
8688,223,63,24,37,199,0.3934426229443698,0.10762331838516762,0.169014084168543,1.2046590581834784
8881,213,38,16,22,197,0.4210526315678671,0.07511737089166612,0.12749003958267327,1.0959036398848367
