Candidates,GT_count,Detected_count,TP,FP,FN,Precision,Recall,F1,LocalizationError
81051,786,392,32,360,754,0.08163265306101625,0.04071246819333243,0.05432937137247962,1.4800997857472655
24964,460,119,23,96,437,0.19327731092274555,0.049999999999891305,0.07944732264379357,0.6805164945358979
19734,491,141,32,109,459,0.22695035460831953,0.0651731160894803,0.1012658224378355,0.5597892742618646
32176,481,157,17,140,464,0.10828025477638038,0.03534303534296186,0.053291535678938885,1.1190366320953529
19689,495,116,18,98,477,0.15517241379176575,0.0363636363635629,0.05891980329284449,0.655544312949931
31475,546,145,21,124,525,0.14482758620589775,0.03846153846146802,0.06078147578977174,0.8264696801836777
10126,231,75,12,63,219,0.15999999999786665,0.05194805194782707,0.07843137217845701,1.1720241168963974
7774,148,37,16,21,132,0.4324324324207451,0.10810810810737766,0.17297297265110304,0.676699232218491
8688,223,63,17,46,206,0.26984126983698664,0.07623318385616039,0.11888111853677441,0.5106621942887043
8881,213,38,14,24,199,0.3684210526218837,0.06572769953020785,0.11155378460272058,1.0461153769730585
