Candidates,GT_count,Detected_count,TP,FP,FN,Precision,Recall,F1,LocalizationError
81051,786,393,8,385,778,0.020356234096640315,0.010178117048333107,0.013570822286660624,0.38464814259437385
24964,460,123,16,107,444,0.13008130081195055,0.03478260869557656,0.05488850738557588,0.39332257947659516
19734,491,140,25,115,466,0.17857142857015307,0.050916496944906485,0.07923930234859768,0.27083852793432955
32176,481,157,5,152,476,0.03184713375775894,0.010395010394988784,0.015673980820122647,0.3692570336902005
19689,495,120,12,108,483,0.09999999999916666,0.024242424242375268,0.03902438992967678,0.2709874927092218
31475,546,147,12,135,534,0.08163265306066918,0.021978021977981727,0.034632034297683086,0.3457052475025037
10126,231,76,2,74,229,0.026315789473337948,0.008658008657971178,0.013029315588282115,0.10034797712119883
7774,148,37,11,26,137,0.29729729728926224,0.07432432432382213,0.1189189185976333,0.2613900239497666
8688,223,63,12,51,211,0.19047619047316705,0.05381165919258381,0.08391608357198398,0.1889032708823377
8881,213,38,7,31,206,0.18421052631094184,0.032863849765103925,0.05577689217288615,0.543308902417008
