Candidates,GT_count,Detected_count,TP,FP,FN,Precision,Recall,F1,LocalizationError
92593,786,444,72,367,714,0.16400911161693849,0.09160305343499796,0.11755101994809095,1.8584521874636164
33552,460,149,44,104,416,0.29729729729528853,0.09565217391283554,0.14473684173645254,1.110202604161226
23949,491,149,61,87,430,0.4121621621593773,0.12423625254557183,0.19092331732734788,1.0915615136606134
37864,481,167,28,138,453,0.16867469879416463,0.05821205821193719,0.08655332264761627,1.3867041932538275
24750,495,143,37,103,458,0.2642857142838266,0.07474747474732374,0.1165354327267704,1.1595402022788805
39141,546,170,49,118,497,0.29341317365093766,0.08974358974342538,0.13744740497048402,1.345434308607061
13367,231,90,19,71,212,0.21111111110876543,0.08225108225072619,0.11838006190102968,1.3589394500226994
9135,148,46,14,31,134,0.31111111110419754,0.09459459459395544,0.14507771984815698,0.9876040064023321
10786,223,72,33,37,190,0.4714285714218367,0.14798206277960546,0.22525597233104638,0.9280730792902094
11308,213,47,17,30,196,0.3617021276518787,0.07981220657239525,0.13076923047204142,0.7963746017511353
