Candidates,GT_count,Detected_count,TP,FP,FN,Precision,Recall,F1,LocalizationError
92593,786,443,114,317,672,0.26450116009219377,0.14503816793874677,0.18734593216343648,2.8942847471015853
33552,460,154,55,99,405,0.35714285714053806,0.11956521739104442,0.17915309408614416,2.55183538876501
23949,491,149,65,84,426,0.43624161073532725,0.13238289205675685,0.20312499964214356,2.363956625043261
37864,481,169,40,128,441,0.23809523809382088,0.08316008315991028,0.12326656356044739,2.3612096971483356
24750,495,140,46,94,449,0.32857142856908167,0.09292929292910519,0.1448818894195945,2.5543984717536494
39141,546,170,52,117,494,0.30769230769048705,0.09523809523792082,0.14545454509314687,2.158510923774556
13367,231,92,23,68,208,0.2527472527444753,0.09956709956666855,0.14285714245077352,2.31613949402715
9135,148,46,17,29,131,0.36956521738327036,0.11486486486408876,0.17525773159517483,2.135436698073006
10786,223,74,37,37,186,0.49999999999324324,0.16591928251046673,0.24915824878241452,1.811300956248508
11308,213,47,19,28,194,0.404255319140335,0.08920187793385352,0.14615384585653846,1.7511189727398608
