Candidates,GT_count,Detected_count,TP,FP,FN,Precision,Recall,F1,LocalizationError
92593,786,444,36,408,750,0.08108108108089847,0.04580152671749898,0.058536584904414046,1.2891296677185342
33552,460,149,27,122,433,0.18120805369005902,0.058695652173785445,0.08866995036901865,0.7742872727493284
23949,491,149,33,116,458,0.22147651006562769,0.06720977596727656,0.10312499964245604,0.5507076085814582
37864,481,167,13,154,468,0.07784431137677938,0.027027027026970837,0.04012345640740265,0.9308937997724307
24750,495,143,20,123,475,0.13986013985916182,0.04040404040395878,0.0626959244168935,0.4527930417871554
39141,546,170,29,141,517,0.1705882352931142,0.053113553113455836,0.08100558622983833,0.8691424795618956
13367,231,90,15,75,216,0.1666666666648148,0.06493506493478383,0.09345794352112266,0.8110921181116331
9135,148,46,11,35,137,0.23913043477741022,0.07432432432382213,0.11340206149271974,0.8870352079885767
10786,223,72,24,48,199,0.3333333333287037,0.10762331838516762,0.16271186403667912,0.4582796887524723
11308,213,47,16,31,197,0.34042553190765057,0.07511737089166612,0.12307692277979289,0.810988474573884
