Candidates,GT_count,Detected_count,TP,FP,FN,Precision,Recall,F1,LocalizationError
92593,786,443,57,386,729,0.12866817155727164,0.07251908396937339,0.09275833965270806,1.6141411223423465
33552,460,154,30,124,430,0.19480519480392985,0.06521739130420605,0.09771986933070909,1.5720812440147294
23949,491,149,42,107,449,0.2818791946289807,0.0855397148674429,0.13124999964236816,1.5652551197599445
37864,481,169,23,146,458,0.13609467455540772,0.047817047816948406,0.07076923038421302,1.5415543184956388
24750,495,140,23,117,472,0.16428571428454083,0.046464646464552596,0.07244094453793291,1.3322892561876267
39141,546,170,35,135,511,0.2058823529399654,0.0641025641024467,0.09776536276610437,1.3796526482435418
13367,231,92,14,78,217,0.15217391304182418,0.06060606060579825,0.08668730609360774,1.1739112512901138
9135,148,46,11,35,137,0.23913043477741022,0.07432432432382213,0.11340206149271974,1.4636522776628027
10786,223,74,25,49,198,0.3378378378332724,0.11210762331788293,0.16835016797487784,1.0216067744664732
11308,213,47,16,31,197,0.34042553190765057,0.07511737089166612,0.12307692277979289,1.3874510680810195
