Candidates,GT_count,Detected_count,TP,FP,FN,Precision,Recall,F1,LocalizationError
92593,786,444,9,435,777,0.020270270270224617,0.011450381679374745,0.014634145880095198,0.41658914480522885
33552,460,149,15,134,445,0.10067114093892168,0.032608695652103024,0.049261083374074165,0.3061199534404996
23949,491,149,24,125,467,0.16107382550227467,0.04887983706711022,0.07499999964254395,0.25594311316472573
37864,481,167,5,162,476,0.029940119760299762,0.010395010394988784,0.015432098382787507,0.3152855401527847
24750,495,143,16,127,479,0.11188811188732946,0.03232323232316702,0.050156739463954755,0.3005985363938927
39141,546,170,13,157,533,0.07647058823484429,0.023809523809480204,0.03631284879979558,0.1974115991460561
13367,231,90,7,83,224,0.07777777777691358,0.030303030302899124,0.04361370676130861,0.26033958783283373
9135,148,46,6,40,142,0.1304347826058601,0.04054054054026662,0.06185566974067383,0.3633353948217777
10786,223,72,16,56,207,0.2222222222191358,0.07174887892344507,0.1084745759014536,0.13157868413580914
11308,213,47,9,38,204,0.19148936169805345,0.042253521126562193,0.06923076893405326,0.3190277215815189
