Candidates,GT_count,Detected_count,TP,FP,FN,Precision,Recall,F1,LocalizationError
92593,786,443,11,432,775,0.024830699774210315,0.013994910941458022,0.017900731841601236,0.42384928611797773
33552,460,154,16,138,444,0.10389610389542925,0.03478260869557656,0.052117263467665445,0.3448685555977159
23949,491,149,24,125,467,0.16107382550227467,0.04887983706711022,0.07499999964254395,0.25594311316472573
37864,481,169,6,163,475,0.03550295857967158,0.01247401247398654,0.018461538076681664,0.34835358660138743
24750,495,140,16,124,479,0.11428571428489796,0.03232323232316702,0.05039370044351417,0.3005985363938927
39141,546,170,13,157,533,0.07647058823484429,0.023809523809480204,0.03631284879979558,0.1974115991460561
13367,231,92,7,85,224,0.07608695652091209,0.030303030302899124,0.04334365284310212,0.27631805998407016
9135,148,46,6,40,142,0.1304347826058601,0.04054054054026662,0.06185566974067383,0.3633353948217777
10786,223,74,16,58,207,0.21621621621329437,0.07174887892344507,0.10774410736922535,0.13157868413580914
11308,213,47,9,38,204,0.19148936169805345,0.042253521126562193,0.06923076893405326,0.3190277215815189
