st_lp,st_tc,st_ic,bm_lp,bm_tc,bm_ic,st_th_cg,st_it_cg,bm_th_cg,bm_it_cg,st_th_GA+KL_cl,st_th_GA+KL_el,st_th_MWS_cl,st_th_MWS_el,st_it_GA+KL_cl,st_it_GA+KL_el,st_it_MWS_cl,st_it_MWS_el,bm_th_GA+KL_cl,bm_th_GA+KL_el,bm_th_MWS_cl,bm_th_MWS_el,bm_it_GA+KL_cl,bm_it_GA+KL_el,bm_it_MWS_cl,bm_it_MWS_el,bm_it_GA_cl,bm_it_GA_el,bm_it_KL_cl,bm_it_KL_el,bm_it_MWS+KL_cl,bm_it_MWS+KL_el
0.014,2.101,296.022,0.071,73.495,1590.84,500.682,366.341,267.959,140.395,117.482,0.031,0,0,61.39,0.034,0,0,39.584,0.03,0,0,14.092,0.024,6.744,0.024,8.392,0.024,16.837,0.024,14.296,0.024
0.008,2.042,51.605,0.07,71.705,1228.96,33.558,15.87,130.231,67.254,7.62,0.014,0,0,3.106,0.013,0,0,41.03,0.023,0,0,14.661,0.019,4.579,0.017,5.741,0.017,14.582,0.018,11.596,0.018
0.004,2.042,39.941,0.073,72.267,1105.03,14.448,8.838,156.486,74.29,2.398,0.011,0,0,1.609,0.01,0,0,20.623,0.025,0,0,8.333,0.019,4.798,0.019,6.089,0.019,9.467,0.019,8.564,0.019
0.008,2.031,81.744,0.066,73.636,1380.0,49.189,33.684,118.341,63.93,8.168,0.015,0,0,5.257,0.015,0,0,18.244,0.024,0,0,6.83,0.02,3.671,0.019,4.625,0.022,8.326,0.019,6.612,0.019
0.007,2.023,45.071,0.067,72.688,1341.52,14.463,8.551,124.832,62.766,2.526,0.011,0,0,1.556,0.011,0,0,22.894,0.024,0,0,7.945,0.019,3.735,0.018,4.823,0.019,9.433,0.019,7.593,0.018
0.007,2.039,79.23,0.068,72.949,1410.26,59.452,34.355,154.192,87.467,18.598,0.016,0,0,8.376,0.015,0,0,44.886,0.026,0,0,19.581,0.021,6.172,0.021,7.683,0.021,25.298,0.021,18.071,0.02
0.007,2.031,30.331,0.065,70.225,436.237,7.616,4.233,20.402,10.546,1.766,0.008,0,0,0.92,0.007,0,0,3.656,0.011,0,0,1.478,0.007,0.945,0.007,1.215,0.007,1.401,0.007,1.311,0.007
0.008,2.04,9.352,0.068,73.511,227.352,2.089,1.432,8.874,4.584,0.833,0.006,0,0,0.504,0.006,0,0,2.19,0.01,0,0,0.976,0.005,0.603,0.005,0.835,0.005,0.754,0.005,0.742,0.005
0.007,2.04,16.674,0.067,73.572,363.898,4.572,2.431,16.918,8.406,0.94,0.007,0,0,0.522,0.007,0,0,2.857,0.01,0,0,1.299,0.006,0.865,0.006,1.093,0.006,1.338,0.006,1.194,0.006
0.007,2.042,13.09,0.068,71.409,385.304,2.958,1.75,17.189,8.423,0.821,0.007,0,0,0.48,0.006,0,0,4.048,0.012,0,0,1.689,0.008,1.037,0.008,1.375,0.008,1.684,0.008,1.715,0.008
