name,Candidates,GT_count,Detected_count,TP,FP,FN,Precision,Recall,F1,LocalizationError
BM-IT STR,38995,407.4,270.3,10.0,260.3,397.4,6.0,3.4,4.4,0.5
ST-IT STR,24456,407.4,128.3,10.5,117.8,396.9,12.3,3.1,5.0,0.3
BM-TH STR,49534,407.4,310.2,11.5,298.7,395.9,6.0,4.0,4.7,0.4
ST-TH STR,29644,407.4,147.7,12.0,135.7,395.4,11.2,3.4,5.2,0.3
BM-IT MOD,38995,407.4,270.3,20.4,249.8,387.0,10.5,6.2,7.7,0.9
ST-IT MOD,24456,407.4,128.3,20.2,108.1,387.2,21.4,5.7,8.9,0.9
BM-TH MOD,49534,407.4,310.2,22.2,287.8,385.2,10.3,6.9,8.2,0.9
ST-TH MOD,29644,407.4,147.7,22.4,125.3,385.0,19.5,6.1,9.3,0.8
BM-IT LOO,38995,407.4,270.3,30.4,238.3,377.0,14.3,8.4,10.5,1.4
ST-IT LOO,24456,407.4,128.3,31.6,95.7,375.8,30.2,8.2,12.7,1.3
BM-TH LOO,49534,407.4,310.2,31.8,276.3,375.6,13.6,9.1,10.8,1.4
ST-TH LOO,29644,407.4,147.7,37.4,108.6,370.0,29.6,9.4,14.1,1.2
