Candidates,GT_count,Detected_count,TP,FP,FN,Precision,Recall,F1,LocalizationError
71260,786,479,76,401,710,0.15932914046088192,0.09669211195916451,0.12034837641018098,1.9829976376648326
52545,460,263,35,225,425,0.13461538461486686,0.07608695652157373,0.0972222217605324,2.1549133051703437
56994,491,289,47,238,444,0.16491228070117575,0.0957230142564242,0.12113402015348004,1.4983957164156043
55866,481,355,24,331,457,0.06760563380262646,0.04989604989594616,0.05741626745380429,1.5880195010277351
54378,495,357,29,323,466,0.08238636363612958,0.05858585858574023,0.06847697708197696,1.58402519179877
61876,546,347,38,305,508,0.11078717201133882,0.06959706959694213,0.08548931336164926,1.5901357814985184
21295,231,127,21,106,210,0.16535433070735941,0.09090909090869737,0.11731843529573048,1.2315575662894471
16478,148,65,14,51,134,0.21538461538130177,0.09459459459395544,0.13145539863572042,0.9800632489551793
19159,223,102,17,83,206,0.16999999999829998,0.07623318385616039,0.10526315746659128,0.8900430522316128
23884,213,99,30,68,183,0.3061224489764681,0.14084507042187397,0.1929260445832032,1.2748557938005216
66450,608,332,37,293,571,0.11212121212087237,0.060855263157794645,0.07889125753948656,1.752640582934478
49617,440,236,38,197,402,0.1617021276588864,0.08636363636344009,0.11259259213837697,1.2035298703253847
66035,753,310,41,265,712,0.13398692810413732,0.0544488711818666,0.07743153877684955,1.4433366137228951
37005,211,105,25,79,186,0.240384615382304,0.11848341232171336,0.158730158286843,1.5091113462268968
43524,313,148,32,112,281,0.22222222222067903,0.10223642172491298,0.14004376324391307,1.2073585973587875
49901,256,136,20,114,236,0.14925373134216977,0.07812499999969483,0.10256410211250494,1.609920709011569
51150,588,309,67,238,521,0.21967213114682074,0.11394557823109873,0.15005599059131305,1.5205772346410604
50374,464,276,22,248,442,0.0814814814811797,0.04741379310334609,0.05994550362195874,1.6017652080514657
51753,514,261,39,215,475,0.1535433070860097,0.07587548638117535,0.10156249955704076,1.6911086219648275
59185,811,267,32,230,779,0.1221374045796865,0.03945745992596861,0.05964585238008249,1.4168894092693205
54810,352,327,12,313,340,0.036923076922963316,0.03409090909081224,0.03545051648739661,1.368934970423451
54283,473,332,22,311,451,0.06606606606586767,0.04651162790687841,0.05459057023455289,1.6089084425345452
66346,464,256,74,173,390,0.29959514169919194,0.15948275862034594,0.20815752415921,1.3051748716347036
48418,448,329,33,291,415,0.1018518518515375,0.07366071428554986,0.0854922274919528,1.404335070679696
36709,377,187,17,168,360,0.09189189189139518,0.045092838196166864,0.06049822019871203,1.3096454121054548
57454,478,331,30,299,448,0.09118541033406935,0.06276150627601933,0.07434944189604283,1.4243310540684773
40392,315,274,17,257,298,0.06204379562021152,0.05396825396808264,0.057724957057405005,1.3159238757832576
59510,460,193,29,161,431,0.1526315789465651,0.06304347826073252,0.08923076881676686,1.7794732170238967
53092,534,254,57,193,477,0.22799999999908802,0.10674157303350798,0.14540816283054586,1.5516235962324907
51080,432,180,25,154,407,0.1396648044684935,0.057870370370236415,0.08183306014192612,1.308084466879135
54967,818,375,83,290,735,0.22252010723800933,0.10146699266491263,0.13937867295327888,1.4314230634435434
50172,562,308,52,256,510,0.1688311688306207,0.09252669039129444,0.11954022942740124,1.5648160175929742
87277,605,654,25,622,580,0.03863987635233595,0.04132231404951848,0.039936101736920616,1.7155274234883382
57166,518,302,39,258,479,0.13131313131268918,0.07528957528942995,0.09570552100892318,1.735460322421773
48900,459,259,32,218,427,0.127999999999488,0.06971677559897665,0.09026798261794657,1.2611606716120285
67525,655,365,39,324,616,0.10743801652862965,0.059541984732733526,0.07662082468833493,1.4298711495650718
41749,425,217,24,189,401,0.11267605633749918,0.05647058823516125,0.07523510927284029,1.6528176413824405
94275,745,416,64,346,681,0.15609756097522903,0.08590604026834106,0.11082251036438148,1.7949312843822824
26019,200,179,22,156,178,0.12359550561728318,0.10999999999945001,0.1164021159031942,1.232247226892569
87752,673,465,63,398,610,0.13665943600838035,0.09361069836538839,0.11111111062839009,1.5657528681742021
71065,620,417,30,385,590,0.07228915662633184,0.048387096774115505,0.057971014012257,1.3699450965227244
56738,398,289,34,252,364,0.11888111888070321,0.08542713567817732,0.09941520419147773,1.2778559764062523
54337,629,425,45,379,584,0.1061320754714478,0.07154213036554603,0.08547008498887364,1.5348381794507857
51630,475,236,15,222,460,0.06329113924023928,0.03157894736835457,0.042134831016423915,1.6762040716050146
66758,512,494,34,457,478,0.06924643584507283,0.0664062499998703,0.06779660966957553,1.5490650777004888
53894,500,310,27,283,473,0.08709677419326743,0.053999999999892,0.06666666619401311,1.1651301003864365
36843,240,136,18,118,222,0.13235294117549742,0.0749999999996875,0.09574468038880715,2.0370146272858083
39304,411,154,19,135,392,0.12337662337582224,0.046228710462174624,0.06725663677135563,1.3787450818359632
34182,320,158,27,124,293,0.1788079470186834,0.08437499999973633,0.11464968109254828,1.3791608733642369
35060,239,141,20,121,219,0.1418439716301997,0.08368200836785071,0.10526315742743769,1.5753714641970789
47696,527,249,46,200,481,0.18699186991793906,0.08728652751406588,0.11901681715955542,1.3558718505604725
69567,811,280,42,233,769,0.15272727272671735,0.051787916152833804,0.07734806591999804,2.060734740670589
65763,665,368,96,262,569,0.26815642458025657,0.144360902255422,0.1876832840021404,1.6773510492114323
53041,538,302,39,257,499,0.13175675675631163,0.07249070631956786,0.09352517939798953,1.2921106267719653
58712,547,265,64,199,483,0.24334600760363748,0.117001828153351,0.15802469091910074,1.6056571108264808
62410,512,233,42,189,470,0.18181818181739473,0.08203124999983978,0.11305518126703969,1.1447583694401267
52573,376,170,31,139,345,0.18235294117539794,0.08244680851041902,0.11355311312387122,1.675347669081813
89045,1021,673,83,582,938,0.12481203007500029,0.08129285014683517,0.0984578880156512,1.6465862276486207
56445,609,379,41,341,568,0.1073298429316562,0.06732348111647402,0.08274470184695559,1.773965620589747
57482,643,315,48,262,595,0.15483870967691987,0.07465007776038157,0.10073452212117255,1.2520029403045754
67176,640,368,54,306,586,0.14999999999958333,0.08437499999986817,0.10799999953898401,1.365240256046275
49434,370,279,31,246,339,0.111913357400318,0.08378378378355734,0.09582689286397571,1.400480704382281
67831,583,410,38,367,545,0.09382716049359549,0.06518010291584017,0.07692307643915038,1.4125883801084385
75134,523,475,34,438,489,0.07203389830493213,0.06500956022932121,0.06834170804388981,1.285132269424762
61807,853,429,46,379,807,0.1082352941173924,0.053927315357498326,0.07198747999415044,1.8034674011509197
83266,1221,665,118,528,1103,0.18266253869940766,0.09664209664201749,0.12640599847605338,1.740903638102814
52800,622,372,72,294,550,0.19672131147487235,0.1157556270094602,0.14574898738752476,1.5625492747599021
71805,797,392,75,305,722,0.1973684210521122,0.0941028858217138,0.12744265036968114,1.742865058046131
57336,790,354,82,267,708,0.23495702005663338,0.103797468354299,0.14398595216469326,1.3875270885557123
64801,819,406,57,347,762,0.14108910891054185,0.06959706959698463,0.09321340920582541,1.6660618588468323
49929,482,227,38,187,444,0.16888888888813827,0.07883817427369536,0.10749646349787235,1.5005994725181808
93999,1070,393,37,353,1033,0.09487179487155162,0.03457943925230413,0.05068493111524301,1.629007507493894
35983,346,155,24,131,322,0.1548387096764204,0.06936416184951051,0.09580838280582149,0.9093268138500358
62784,704,394,74,312,630,0.19170984455908885,0.10511363636348706,0.13577981605606934,1.6104654569608254
66485,348,305,32,270,316,0.1059602649003114,0.09195402298824151,0.09846153796373965,1.5597696959222103
56531,424,315,21,290,403,0.0675241157554099,0.04952830188667564,0.057142856654519875,1.5851609490004872
66616,606,445,32,414,574,0.07174887892360594,0.05280528052796567,0.06083650141259091,1.5595957381427004
76592,491,454,52,393,439,0.11685393258400707,0.1059063136454055,0.11111111061208133,1.3521320646183346
52732,396,196,12,184,384,0.061224489795606,0.030303030302953782,0.04054054009747079,1.6900689805654936
71651,892,513,75,433,817,0.14763779527529994,0.08408071748869497,0.1071428566803204,1.6084378770531351
59161,545,389,40,347,505,0.10335917312634792,0.07339449541270937,0.0858369093854303,1.465445954550212
59179,579,312,32,276,547,0.10389610389576658,0.055267702936001264,0.07215332536387173,2.1055283576925343
45748,506,233,38,192,468,0.1652173913036295,0.0750988142291006,0.10326086913524932,1.1734165830207688
52340,609,323,35,284,574,0.10971786833821405,0.05747126436772172,0.07543103403142418,1.8268648443424795
62085,540,323,49,268,491,0.15457413249162597,0.0907407407405727,0.114352391598932,1.2229312352278916
65773,691,402,45,357,646,0.11194029850718423,0.06512301013015177,0.08234217702794379,1.4221538492821364
58614,540,405,36,366,504,0.08955223880574739,0.06666666666654321,0.07643312052967666,1.8189335933781317
72735,518,473,35,436,483,0.07430997876841973,0.06756756756743713,0.07077856370725503,1.423562070833429
80586,879,529,75,450,804,0.14285714285687076,0.0853242320818142,0.10683760636924113,1.7801385152427747
68399,920,492,122,364,798,0.25102880658384563,0.13260869565202976,0.17354196256304114,1.2293324720621506
52350,573,275,52,217,521,0.193308550185155,0.09075043630001614,0.12351543899481214,1.5104856293461744
41093,756,244,27,214,729,0.11203319502028203,0.03571428571423847,0.054162487095690284,1.733682874177739
72925,702,500,49,444,653,0.09939148073002152,0.06980056980047038,0.08200836771599376,1.5576822771224585
54394,759,320,28,289,731,0.08832807570950055,0.03689064558624915,0.05204460924970115,1.3217722087722368
42733,487,263,43,219,444,0.16412213740395373,0.08829568788482896,0.11481975922438639,1.3517044893926533
38541,516,172,17,155,499,0.09883720930175095,0.03294573643404468,0.049418604276019136,1.3796497200206912
72559,832,484,66,411,766,0.13836477987392376,0.07932692307682773,0.10084033567107427,1.3844784380781856
45336,468,278,15,263,453,0.05395683453218001,0.03205128205121357,0.04021447674412237,1.5973888636644993
64023,709,463,57,403,652,0.1239130434779915,0.08039492242583865,0.09751924674236422,1.7463300404350766
70035,904,469,49,414,855,0.10583153347709325,0.05420353982294889,0.07168983130028593,1.8475953904683178
54326,553,416,42,373,511,0.10120481927686457,0.07594936708847026,0.08677685901411492,1.7023823172413237
66039,997,465,60,405,937,0.12903225806423865,0.06018054162481426,0.08207934293134697,1.7601187921035015
