Candidates,GT_count,Detected_count,TP,FP,FN,Precision,Recall,F1,LocalizationError
71260,786,476,36,440,750,0.07563025210068144,0.04580152671749898,0.05705229746985767,1.3046729349493198
52545,460,266,18,247,442,0.06792452830163048,0.03913043478252363,0.04965517194982736,1.2609755865158805
56994,491,292,31,261,460,0.10616438356128026,0.06313645621168404,0.07918263043886288,0.9975546834863454
55866,481,355,11,344,470,0.030985915492870462,0.022869022868975325,0.026315788984979174,0.7448561532398013
54378,495,358,21,335,474,0.058988764044778125,0.04242424242415672,0.04935370104083812,1.137950706709411
61876,546,340,17,322,529,0.05014749262522081,0.031135531135474112,0.0384180786233126,1.2545905755072977
21295,231,125,16,109,215,0.127999999998976,0.06926406926376942,0.08988763999326158,1.1201478813450354
16478,148,65,13,52,135,0.19999999999692306,0.08783783783724435,0.12206572727430626,0.8695363783691332
19159,223,101,12,89,211,0.11881188118694246,0.05381165919258381,0.07407407364450923,0.654032028455248
23884,213,100,22,78,191,0.21999999999779998,0.10328638497604091,0.1405750794364748,1.0682070679500588
66450,608,330,23,307,585,0.0696969696967585,0.03782894736835883,0.04904051127089348,1.33575500634741
49617,440,246,26,220,414,0.10569105691013947,0.059090909090774794,0.07580174881090362,0.6998450308489208
66035,753,325,25,300,728,0.07692307692284024,0.033200531208455245,0.04638218881806307,0.9413398891081479
37005,211,106,18,88,193,0.16981132075311497,0.08530805687163362,0.11356466832385635,1.1339572367039465
43524,313,149,29,119,284,0.195945945944622,0.0926517571882024,0.12581344858736784,1.0460557455525494
49901,256,132,16,116,240,0.12121212121120295,0.06249999999975586,0.08247422635476671,1.4135456378244329
51150,588,315,43,272,545,0.13650793650750315,0.0731292517005559,0.09523809478358468,0.9621644063255103
50374,464,273,18,255,446,0.06593406593382442,0.03879310344819226,0.04884667524579644,1.265953865748429
51753,514,257,20,231,494,0.07968127490008095,0.03891050583650017,0.052287581258305786,0.8697954280269059
59185,811,263,23,239,788,0.08778625954164967,0.02836004932178994,0.042870456294372854,0.9358984071539539
