Candidates,GT_count,Detected_count,TP,FP,FN,Precision,Recall,F1,LocalizationError
71260,786,479,8,471,778,0.016701461377835698,0.010178117048333107,0.01264822087330221,0.4720776098184962
52545,460,263,4,259,456,0.015209125475227342,0.00869565217389414,0.011065006452720265,0.4291311104040302
56994,491,289,16,273,475,0.05536332179911639,0.03258655804474015,0.041025640559069695,0.3555630119534973
55866,481,355,5,350,476,0.014084507042213847,0.010395010394988784,0.011961721999367594,0.4261534160141596
54378,495,357,7,349,488,0.019662921348259376,0.014141414141385573,0.016451233355839073,0.3249678207844067
61876,546,347,4,342,542,0.011560693641585086,0.007326007325993909,0.008968609390587006,0.4157273962913295
21295,231,127,5,122,226,0.03937007873984748,0.021645021644927945,0.027932960435894643,0.4257985816451554
16478,148,65,8,57,140,0.12307692307502958,0.05405405405368883,0.07511737046723534,0.495751453160624
19159,223,102,9,93,214,0.088235294116782,0.04035874439443785,0.05538461495358106,0.28609811210479985
23884,213,99,9,90,204,0.09090909090817263,0.042253521126562193,0.05769230725869083,0.3830670388871347
66450,608,332,2,330,606,0.006024096385524024,0.003289473684205116,0.004255318692032643,0.38392367621816303
49617,440,236,16,220,424,0.06779661016920425,0.03636363636355372,0.04733727765190295,0.3762834826049062
66035,753,310,12,298,741,0.03870967741922997,0.015936254980058517,0.022577610123014,0.5011446438793395
37005,211,105,4,101,207,0.038095238094875285,0.018957345971474138,0.025316455252303326,0.5191927094040572
43524,313,148,10,138,303,0.06756756756711103,0.03194888178903531,0.043383947503126755,0.47289472745447736
49901,256,136,2,134,254,0.014705882352833046,0.007812499999969483,0.010204081179456499,0.29630592839267095
51150,588,309,18,291,570,0.058252427184277505,0.030612244897907124,0.040133778812496516,0.4167803993358341
50374,464,276,4,272,460,0.014492753623135896,0.008620689655153835,0.010810810343053347,0.4266102022607581
51753,514,261,11,249,503,0.042307692307529586,0.021400778210075095,0.028423772163591935,0.3772466725699273
59185,811,267,9,258,802,0.03370786516841308,0.011097410604178671,0.01669758775345845,0.5182732718804064
54810,352,327,2,325,350,0.006116207951051633,0.00568181818180204,0.0058910157009550565,0.270251669071688
54283,473,332,7,325,466,0.021084337349334084,0.014799154334006767,0.017391303863122577,0.41933003441775674
66346,464,256,23,232,441,0.09019607843101884,0.04956896551713455,0.0639777464127236,0.4366658448998023
48418,448,329,11,317,437,0.033536585365751416,0.02455357142851662,0.028350514975801103,0.49350623389079923
36709,377,187,6,181,371,0.03208556149715462,0.01591511936335301,0.021276595301349288,0.4024213264132757
57454,478,331,12,318,466,0.03636363636352617,0.02510460251040773,0.0297029698137315,0.4299396814483458
40392,315,274,6,268,309,0.021897810218898184,0.01904761904755858,0.020373513933592963,0.527805805241182
59510,460,193,8,184,452,0.04166666666644966,0.01739130434778828,0.024539876885016382,0.46658543900031624
53092,534,254,15,239,519,0.059055118110003725,0.028089887640396837,0.038071065552880784,0.27884188911936064
51080,432,180,7,173,425,0.03888888888867284,0.016203703703666195,0.022875816578164388,0.3520335794033295
54967,818,375,20,354,798,0.05347593582873402,0.024449877750581356,0.033557046549181346,0.45884150165462206
50172,562,308,12,296,550,0.038961038960912464,0.021352313167221793,0.027586206439106892,0.4427116069289465
87277,605,654,6,647,599,0.009188361408868011,0.009917355371884434,0.009538950216134098,0.4588863466488549
57166,518,302,6,295,512,0.019933554817209525,0.011583011582989222,0.014652014187080065,0.4901159998406503
48900,459,259,11,245,448,0.042968749999832155,0.023965141612148223,0.03076923030944888,0.4841783188750702
67525,655,365,10,355,645,0.027397260273897543,0.015267175572495776,0.019607842677633616,0.30475593201101797
41749,425,217,3,214,422,0.01382488479256302,0.007058823529395156,0.009345793944978234,0.4662726242510935
94275,745,416,11,404,734,0.026506024096321672,0.01476510067112112,0.01896551678181184,0.47578976549951724
26019,200,179,9,170,191,0.050279329608657664,0.044999999999775005,0.04749340319521586,0.44712634889680497
87752,673,465,16,449,657,0.03440860215046364,0.02377414561660658,0.02811950742526587,0.3840378764362082
71065,620,417,10,407,610,0.023980815347664317,0.016129032258038502,0.01928640260494771,0.5721384213360524
56738,398,289,9,280,389,0.03114186851200297,0.02261306532657635,0.02620087287495578,0.34242503820224
54337,629,425,14,411,615,0.03294117647051073,0.02225755166928099,0.02656546441431576,0.3946128210506293
51630,475,236,3,233,472,0.012711864406725797,0.006315789473670915,0.008438818121874287,0.4038139775836172
66758,512,494,5,489,507,0.010121457489858054,0.009765624999980927,0.00994035735302304,0.4696118298421685
53894,500,310,12,298,488,0.03870967741922997,0.023999999999952,0.029629629157067527,0.3635887728430464
36843,240,136,3,133,237,0.02205882352924957,0.012499999999947917,0.015957446346678374,0.2502200261415078
39304,411,154,5,149,406,0.03246753246732164,0.012165450121624902,0.017699114647637255,0.30840992093131103
34182,320,158,4,154,316,0.025316455696042302,0.012499999999960938,0.01673640123100087,0.4373389955362502
35060,239,141,8,133,231,0.05673758865207988,0.033472803347140284,0.042105262690927986,0.539760816989167
47696,527,249,17,231,510,0.0685483870964978,0.03225806451606782,0.04387096730662227,0.37546100579104824
69567,811,280,5,274,806,0.017921146953340784,0.006165228113432595,0.009174311545696506,0.39654808739590763
65763,665,368,27,340,638,0.07356948228862788,0.040601503759337444,0.05232558093693851,0.47245594983598516
53041,538,302,14,288,524,0.046357615893886234,0.026022304832665388,0.03333333287272109,0.3376027574023505
58712,547,265,15,249,532,0.0568181818179666,0.027422303473441642,0.03699136824143368,0.33118572536261925
62410,512,233,17,216,495,0.0729613733902448,0.03320312499993515,0.04563758346261881,0.472327638238106
52573,376,170,7,163,369,0.041176470587993085,0.01861702127654623,0.025641025212105362,0.44004322231132903
89045,1021,673,17,656,1004,0.02526002971764449,0.01665034280115901,0.020070837773733682,0.39252767669899036
56445,609,379,12,367,597,0.03166226912920406,0.01970443349750459,0.024291497502755752,0.4297450001184693
57482,643,315,17,298,626,0.05396825396808264,0.026438569206801807,0.03549060498651288,0.5792387674916288
67176,640,368,19,349,621,0.0516304347824684,0.029687499999953612,0.037698412234745064,0.4512368432570105
49434,370,279,9,270,361,0.032258064516013416,0.024324324324258583,0.027734976397264022,0.570211879599773
67831,583,410,12,398,571,0.029268292682855444,0.020583190394475846,0.024169183805157767,0.45428706587352624
75134,523,475,8,467,515,0.016842105263122437,0.015296367112781461,0.016032063629381022,0.4153641717288473
61807,853,429,5,424,848,0.011655011654984487,0.005861664712771557,0.00780031156716059,0.4111927720886028
83266,1221,665,20,645,1201,0.030075187969879586,0.016380016380002964,0.021208907284683488,0.43287020277241667
52800,622,372,16,356,606,0.043010752688056424,0.025723472668768933,0.03219315848528597,0.4205665872287648
71805,797,392,10,380,787,0.025641025640959894,0.012547051442895174,0.01684919922177139,0.37172771582322783
57336,790,354,28,326,762,0.07909604519751667,0.03544303797463868,0.04895104852358917,0.5000778126835683
64801,819,406,10,396,809,0.024630541871860517,0.012210012209997302,0.016326530169050908,0.471934654683641
49929,482,227,11,216,471,0.04845814977952221,0.02282157676343813,0.031029618746537077,0.5115387468091186
93999,1070,393,9,383,1061,0.022959183673410818,0.008411214953263167,0.012311901112302369,0.46977677995598277
