Candidates,GT_count,Detected_count,TP,FP,FN,Precision,Recall,F1,LocalizationError
81061,786,514,65,435,721,0.12999999999974,0.08269720101770649,0.10108864649191313,1.665959778793724
58975,460,290,39,249,421,0.13541666666619648,0.08478260869546786,0.10427807439246904,1.8770659868555883
66653,491,331,49,276,442,0.15076923076876686,0.09979633401201671,0.12009803873608407,1.5059546386534806
62809,481,404,28,372,453,0.06999999999982501,0.05821205821193719,0.06356413117264073,1.4248940777847996
62357,495,405,25,380,470,0.06172839506157598,0.050505050504948475,0.0555555550604321,1.361223136096418
68690,546,387,47,329,499,0.12499999999966756,0.08608058608042843,0.10195227717404398,1.3665848850651658
24833,231,157,31,126,200,0.1974522292981054,0.13419913419855325,0.15979381395035336,1.0359951074853524
19878,148,83,20,63,128,0.24096385541878357,0.13513513513422207,0.17316017269826275,0.8786443069833725
22484,223,110,23,84,200,0.21495327102602846,0.1031390134524523,0.13939393895487603,0.7493558828419978
27845,213,126,31,91,182,0.25409836065365493,0.14553990610260312,0.18507462640146136,1.0001280830946817
76871,608,390,38,350,570,0.0979381443296445,0.06249999999989721,0.07630522040777568,1.6580947050993347
58353,440,260,42,217,398,0.16216216216153606,0.09545454545432852,0.12017167335292396,1.0980054530437766
77644,753,386,51,335,702,0.13212435233126393,0.0677290836652487,0.08955223835772334,1.4334905639794573
42806,211,116,30,83,181,0.2654867256613674,0.14218009478605603,0.18518518472978585,1.2067561312840196
50252,313,170,31,134,282,0.18787878787764922,0.09904153354600946,0.1297071125181019,1.1441035631830072
57809,256,155,33,123,223,0.21153846153710554,0.12890624999949646,0.16019417428596003,1.3447119584740945
58064,588,335,73,260,515,0.2192192192185609,0.12414965986373444,0.1585233437290817,1.2768209693967683
58148,464,332,31,299,433,0.09393939393910927,0.06681034482744222,0.07808564183142461,1.696903061109072
59875,514,318,50,271,464,0.15576323987490417,0.09727626459125044,0.11976047856834163,1.6248646546890146
67205,811,302,36,263,775,0.12040133779223947,0.044389642416714684,0.06486486447112896,1.3912612160358937
58770,352,332,16,312,336,0.04878048780472933,0.04545454545441632,0.0470588230298962,1.1342990707837892
64352,473,423,27,397,446,0.06367924528286868,0.05708245243116896,0.06020066839767888,1.2768500876610007
77013,464,270,70,188,394,0.2713178294563127,0.1508620689651921,0.19390581671468143,1.2183530919896353
54656,448,371,50,318,398,0.1358695652170221,0.11160714285689374,0.12254901911234863,1.810332946210548
41720,377,225,18,205,359,0.0807174887888757,0.04774535809005903,0.0599999995327389,0.908346078376057
64444,478,342,27,315,451,0.0789473684208218,0.0564853556484174,0.06585365805017847,1.2939236584420675
45409,315,314,20,294,295,0.06369426751572071,0.06349206349186193,0.06359300426927442,1.5447490630952918
68078,460,236,37,198,423,0.1574468085099683,0.0804347826085208,0.10647481969598262,1.666957083085427
61122,534,290,58,226,476,0.20422535211195697,0.10861423220953444,0.14180929049990137,1.4861520870154319
60997,432,241,32,208,400,0.13333333333277778,0.07407407407390261,0.09523809477862812,1.3319010687511366
61259,818,407,92,309,726,0.22942643391463985,0.11246943765267424,0.15094339578467805,1.3758133366834522
58500,562,345,57,288,505,0.16521739130386895,0.10142348754430353,0.1256890844236023,1.4200058303924952
101696,605,823,22,797,583,0.026862026861994064,0.03636363636357626,0.030898875915743165,1.7432152849702334
67444,518,343,43,297,475,0.12647058823492216,0.08301158301142277,0.10023309975438625,1.6634763227452214
56485,459,295,39,256,420,0.13220338983006033,0.0849673202612528,0.10344827538544914,0.9088407057181703
77734,655,394,41,351,614,0.10459183673442707,0.06259541984723269,0.07831900621716846,1.5600729583891881
47225,425,253,37,212,388,0.1485943775094434,0.08705882352920692,0.10979228440023686,1.4164887428494046
111105,745,496,70,419,675,0.143149284253286,0.09395973154349804,0.113452187527818,1.639578581628258
30783,200,199,34,164,166,0.17171717171630446,0.16999999999915,0.17085427085593796,1.3539548775373722
104592,673,546,60,478,613,0.11152416356856594,0.08915304606227466,0.09909165929135143,1.7439874100665038
82327,620,496,38,457,582,0.07676767676752168,0.06129032258054631,0.06816143448374029,1.4007120684577243
68542,398,398,37,360,361,0.09319899244309018,0.09296482412036944,0.09308176050605595,1.3198008919819795
60308,629,453,56,399,573,0.12307692307665258,0.08903020667712395,0.10332103272302426,1.4959668699743405
56606,475,261,18,240,457,0.0697674418601947,0.03789473684202548,0.049113232831545034,1.6241779293798997
75704,512,618,31,585,481,0.05032467532459363,0.06054687499988175,0.05496453851124504,1.7873592324218643
62173,500,412,26,385,474,0.0632603406324495,0.051999999999896004,0.057080131228027735,1.1733541938196541
42543,240,149,16,132,224,0.10810810810737766,0.06666666666638889,0.08247422633180998,1.4574974617884322
44430,411,183,20,163,391,0.10928961748574159,0.04866180048649961,0.06734006691350657,1.3282917182111553
39246,320,184,26,156,294,0.14285714285635795,0.0812499999997461,0.10358565690789034,1.2389236002397153
42916,239,165,21,144,218,0.12727272727195593,0.08786610878624324,0.10396039555586463,1.3470099200851369
54668,527,279,50,229,477,0.17921146953340786,0.09487666034137594,0.12406947845521797,1.2866837136099587
85359,811,352,70,275,741,0.20289855072404958,0.08631319358805634,0.12110726601702713,1.2692640814553058
75908,665,370,88,278,577,0.24043715846928843,0.13233082706747018,0.1707080499781911,1.6264792634901062
62199,538,343,43,298,495,0.12609970674449825,0.07992565055747226,0.09783845231215015,1.6392629815893798
70089,547,297,73,216,474,0.2525951557084685,0.133455210237416,0.17464114787256188,1.4125247209327996
76000,512,274,43,229,469,0.15808823529353644,0.08398437499983596,0.10969387709759605,1.4777605389931134
64193,376,194,22,172,354,0.11340206185508556,0.05851063829771673,0.07719298200684518,1.4987591591266674
99734,1021,737,97,633,924,0.1328767123285851,0.09500489715955436,0.11079383160962832,1.6478085342686963
65331,609,495,45,447,564,0.09146341463396045,0.07389162561564222,0.08174386871530712,1.5355844650044963
68520,643,392,62,329,581,0.15856777493565585,0.09642301710715953,0.11992263009039465,1.303834976008228
79865,640,432,50,376,590,0.11737089201850383,0.07812499999987793,0.09380862991397063,1.2789151766858282
58672,370,313,30,279,340,0.0970873786404625,0.08108108108086194,0.08836524250819341,1.3612051025710765
78613,583,503,47,452,536,0.09418837675331826,0.08061749571169706,0.08687615477087511,1.4111120107027828
87452,523,694,47,646,476,0.06782106782096996,0.08986615678759108,0.07730263108859262,1.2644145597227368
70317,853,506,55,446,798,0.10978043912153737,0.06447831184048713,0.08124076762820705,1.5896845677986233
93437,1221,767,137,598,1084,0.18639455782287565,0.11220311220302032,0.14008179912172655,1.5074288934302722
59278,622,419,74,337,548,0.18004866180004855,0.11897106109305632,0.14327202275388462,1.7056179937867557
84176,797,455,81,359,716,0.1840909090904907,0.10163111668745091,0.13096200439187827,1.4773616252704544
64455,790,417,99,310,691,0.24205378973045955,0.1253164556960439,0.16513761422911086,1.435627579889099
75374,819,476,60,415,759,0.1263157894734183,0.07326007325998381,0.09273570278094234,1.4909203192062594
59264,482,275,42,230,440,0.15441176470531467,0.08713692946040014,0.11140583508225627,1.3034596996777243
110692,1070,505,38,463,1032,0.07584830339306219,0.03551401869155559,0.048376829610086707,1.834163233788744
43369,346,174,24,150,322,0.13793103448196592,0.06936416184951051,0.09230769186204144,0.6362261786789019
73451,704,455,70,378,634,0.15624999999965122,0.09943181818167694,0.12152777730225812,1.5666800104069745
79654,348,361,43,314,305,0.1204481792713713,0.12356321839044954,0.12198581510257231,1.6746438062534532
65553,424,383,33,349,391,0.08638743455474768,0.07783018867906172,0.08188585558055896,1.6989720794941063
80753,606,590,42,548,564,0.07118644067784545,0.06930693069295495,0.07023411321234663,1.961246931575143
90342,491,605,54,540,437,0.09090909090893787,0.109979633400998,0.0995391700112349,1.3235779954653237
63341,396,225,21,201,375,0.0945945945941685,0.05303030303016912,0.06796116458795991,1.5062654318029156
78729,892,626,94,530,798,0.15064102564078424,0.10538116591916437,0.12401055360517191,1.6810914233548244
68735,545,492,48,438,497,0.09876543209856221,0.08807339449525124,0.09311348155771285,1.6538749086186544
67063,579,397,52,337,527,0.13367609254464352,0.08981001727100206,0.10743801604796675,1.8258505435644918
53369,506,273,44,227,462,0.16236162361563705,0.08695652173895858,0.11325611280155833,0.8414046551022316
60482,609,368,45,320,564,0.12328767123253895,0.07389162561564222,0.09240246359689716,1.5444237064844435
72308,540,354,52,298,488,0.14857142857100408,0.09629629629611797,0.11685393210679461,1.5519617915662662
76979,691,474,53,417,638,0.11276595744656859,0.07670043415328986,0.09130060244646979,1.7066136081725203
66573,540,440,38,401,502,0.0865603644644953,0.07037037037024006,0.0776302344387688,1.4298222077788083
84263,518,632,38,593,480,0.060221870047448146,0.07335907335893174,0.0661444729598993,1.7450173145243535
96799,879,653,84,565,795,0.12942989214155712,0.0955631399316319,0.10994764349024236,2.003304997005067
79826,920,574,151,419,769,0.26491228070128964,0.1641304347824303,0.20268456328570603,1.2049384653358417
63476,573,324,60,259,513,0.18808777429408124,0.10471204188463401,0.13452914752230336,1.5079858267348765
47710,756,259,30,226,726,0.11718749999954224,0.039682539682487195,0.059288537171343095,1.1799659213732931
84952,702,614,54,553,648,0.08896210873131967,0.07692307692296735,0.08250572906706058,1.3313289386465093
62779,759,366,37,327,722,0.1016483516480724,0.04874835309611496,0.06589492387162614,1.6595377399019329
48677,487,311,44,267,443,0.14147909967800168,0.09034907597517382,0.11027568874710272,1.286338481191452
45256,516,219,34,184,482,0.15596330275157816,0.06589147286808936,0.09264305135328052,1.4450955294973553
83447,832,533,93,436,739,0.1758034026461705,0.11177884615371181,0.13666421701172313,1.3134021829988916
50246,468,310,19,290,449,0.06148867313895959,0.04059829059820385,0.048906048426860395,1.297470637894073
72659,709,518,61,448,648,0.11984282907638538,0.08603667136800278,0.10016420312579642,1.5604639759999612
78242,904,569,71,492,833,0.12611012433370142,0.07853982300876268,0.09679618221263711,1.483046645317967
62574,553,484,42,440,511,0.08713692946040014,0.07594936708847026,0.08115941979205116,1.972077203223996
73824,997,591,101,486,896,0.17206132879016686,0.10130391173510402,0.12752525205859017,1.5563862425217745
