Candidates,GT_count,Detected_count,TP,FP,FN,Precision,Recall,F1,LocalizationError
81061,786,513,72,440,714,0.14062499999972536,0.09160305343499796,0.11093990707218644,1.8462100068419385
58975,460,280,31,249,429,0.1107142857138903,0.06739130434767959,0.08378378331314099,1.687724027576067
66653,491,333,42,291,449,0.12612612612574736,0.0855397148674429,0.10194174709095168,1.448133045077655
62809,481,405,26,378,455,0.06435643564340505,0.054054054053941675,0.05875706165054486,1.5661701480982553
62357,495,403,27,376,468,0.06699751861025559,0.05454545454534435,0.06013362979464636,1.6514764683718055
68690,546,376,40,336,506,0.10638297872312133,0.07326007325993908,0.08676789539533505,1.6320655811862737
24833,231,157,30,127,201,0.19108280254655363,0.12987012986956767,0.1546391747751222,1.2970955057184388
19878,148,87,20,67,128,0.229885057468622,0.13513513513422207,0.17021276548968764,1.1445479246694408
22484,223,113,24,89,199,0.2123893805290939,0.10762331838516762,0.14285714240988165,1.1645931006137866
27845,213,123,23,99,190,0.18852459016238915,0.10798122065677004,0.13731343237189575,1.490827406893387
76871,608,385,35,350,573,0.09090909090885478,0.05756578947358953,0.07049345370432909,1.7837331304107065
58353,440,263,39,225,401,0.14772727272671315,0.08863636363616219,0.11079545407638978,1.576915483946167
77644,753,372,61,312,692,0.16353887399419964,0.0810092961486308,0.1083481345478722,1.6333754824928097
42806,211,114,25,89,186,0.21929824561211142,0.11848341232171336,0.15384615338974678,1.3362979928959842
50252,313,170,35,135,278,0.2058823529399654,0.11182108626162358,0.14492753577511153,1.4960433033166993
57809,256,158,33,125,223,0.208860759492349,0.12890624999949646,0.1594202893823193,1.4716234495189369
58064,588,339,79,259,509,0.23372781065019607,0.13435374149637014,0.17062634942808427,1.4626151141100063
58148,464,336,35,300,429,0.10447761193998664,0.07543103448259605,0.0876095114026764,1.8063295267416255
59875,514,311,39,272,475,0.12540192926004695,0.07587548638117535,0.09454545407549825,1.5515170123467579
67205,811,297,33,264,778,0.111111111110737,0.04069050554865513,0.0595667866111037,1.605324500941432
58770,352,347,20,326,332,0.057803468207925424,0.056818181818020404,0.05730658975775241,1.8393836158306638
64352,473,436,29,406,444,0.06666666666651341,0.06131078224088518,0.06387665148311389,1.3707742065019304
77013,464,268,74,195,390,0.27509293680195135,0.15948275862034594,0.20190995860714064,1.340224402502184
54656,448,377,46,330,402,0.12234042553158953,0.10267857142834223,0.11165048494043972,1.655858556276383
41720,377,226,21,205,356,0.09292035398188973,0.055702917771735534,0.06965174082465506,1.3496232645969697
64444,478,338,28,309,450,0.08308605341221637,0.05857740585761804,0.06871165595651474,1.4495809814560303
45409,315,316,22,293,293,0.06984126984104813,0.06984126984104813,0.06984126934104813,1.804326732314525
68078,460,230,35,195,425,0.15217391304281663,0.07608695652157373,0.10144927491758035,1.7242481472397968
61122,534,291,51,239,483,0.17586206896491083,0.09550561797734924,0.1237864073105323,1.6169604856785413
60997,432,242,39,203,393,0.1611570247927225,0.0902777777775688,0.1157270025067492,1.7158349095782093
61259,818,409,100,309,718,0.2444987775055147,0.12224938875290679,0.16299918455936482,1.7166495028884725
58500,562,343,65,278,497,0.18950437317729008,0.11565836298911805,0.1436464083687409,1.715812784163479
101696,605,826,22,804,583,0.026634382566553712,0.03636363636357626,0.03074772837281891,1.8047232224333443
67444,518,341,41,301,477,0.11988304093532198,0.07915057915042635,0.09534883673002163,1.6075603269333094
56485,459,284,32,252,427,0.11267605633763143,0.06971677559897665,0.08613728081956494,1.2970941506008695
77734,655,395,43,351,612,0.10913705583728646,0.06564885496173184,0.08198284033155914,1.602277896434642
47225,425,256,34,222,391,0.13281249999948122,0.07999999999981176,0.09985315665237914,1.432070572841
111105,745,476,61,415,684,0.12815126050393247,0.08187919463076258,0.0999180994422048,1.595988465370376
30783,200,184,26,158,174,0.141304347825319,0.12999999999935,0.13541666616682943,1.5137037023132605
104592,673,551,53,498,620,0.09618874773122289,0.07875185735500928,0.08660130669436836,1.7030380266820775
82327,620,493,34,459,586,0.06896551724123942,0.054838709677330906,0.06109613607423499,1.6508309414578983
68542,398,396,36,360,362,0.09090909090886135,0.0904522613063054,0.09068010025544228,1.6287901372897329
60308,629,438,52,386,577,0.11872146118694356,0.08267090620018654,0.09746954028434882,1.6033440728499375
56606,475,270,15,255,460,0.05555555555534979,0.03157894736835457,0.04026845591358948,1.5563450408276625
75704,512,616,32,584,480,0.051948051947967616,0.06249999999987793,0.05673758815663196,1.8103868195442863
62173,500,420,24,396,476,0.05714285714272109,0.047999999999904,0.05217391254714557,1.2863187673235106
42543,240,148,19,129,221,0.12837837837751095,0.07916666666633682,0.09793814385750346,1.5857298693690363
44430,411,180,18,162,393,0.09999999999944445,0.043795620437849646,0.06091370515993713,1.3922855701162047
39246,320,179,26,153,294,0.14525139664723324,0.0812499999997461,0.1042084163731712,1.5025944042481751
42916,239,165,25,140,214,0.15151515151423325,0.10460251045981338,0.1237623757537864,1.4140949232833655
54668,527,281,51,230,476,0.1814946619210623,0.09677419354820346,0.12623762330841032,1.4416959003529015
85359,811,362,65,297,746,0.17955801104922775,0.08014796547462374,0.11082693904451173,1.5845053543282686
75908,665,372,85,286,580,0.22911051212876252,0.12781954887198824,0.1640926636326139,1.7136148200642638
62199,538,341,39,302,499,0.11436950146594027,0.07249070631956786,0.08873720089010033,1.683961847355573
70089,547,288,66,222,481,0.22916666666587096,0.12065813528314322,0.15808383188305639,1.345081711810919
76000,512,290,50,240,462,0.17241379310285376,0.09765624999980926,0.12468827883974602,1.579562124753585
64193,376,199,26,173,350,0.13065326633100174,0.06914893617002886,0.09043478215575955,1.452796496004359
99734,1021,737,101,635,920,0.13722826086937875,0.09892262487747412,0.1149686961550283,1.699241815188275
65331,609,486,40,443,569,0.08281573498947657,0.06568144499168196,0.0732600727665959,1.6787446821362044
68520,643,386,66,320,577,0.17098445595810627,0.10264385692052466,0.12827988291286416,1.6325436814540166
79865,640,433,65,367,575,0.15046296296261466,0.10156249999984131,0.12126865623501543,1.632899121618408
58672,370,301,24,277,346,0.0797342192688381,0.06486486486468955,0.07153502185976843,1.515575725361323
78613,583,510,48,462,535,0.09411764705863898,0.08233276157790338,0.08783165549475035,1.5806561362703409
87452,523,674,50,624,473,0.07418397626101753,0.09560229445488412,0.08354218831316387,1.5547710052228596
70317,853,506,50,454,803,0.09920634920615237,0.058616647127715575,0.07369196710849772,1.8474856880567487
93437,1221,760,140,607,1081,0.18741633199439436,0.11466011466002075,0.1422764222930883,1.8862436765125903
